Ticker,IndexMarketCap,Income,Sales,Booksh,Cashsh,Dividend,Dividend_Percentage,Employees,Recom,PriceToEarnings,ForwardPTE,PEGPriceToSales,PriceToBook,PutCallRatio,PFCF,QuickRatio,CurrentRatio,DebtEquity,LdDebtEquity,SMA20,SMA50,SMA200,ROA,ROE,ROI,GrossMargin,OperationalMargin,ProfitMargin,Payout,SHSOutstanding,ShsFloat,ShoartFloat,ShortRatio,TargetPrice,52WH,52WL,AVGVol,Vol,PerformaceHalfYear,PerformanceYear,PerformanceYTD,,,,
[['GFF'], '-', '1.36B', '83.40M', '2.55B', '15.43', '3.89', '0.32', '1.34%', '7400', '1.50', '14.92', '11.41', '0.73', '0.53', '1.55', '6.15', '24.05', '1.50', '2.60', '1.34', '1.33', '0.70%', '0.69%', '-2.84%', '3.30%', '11.20%', '6.70%', '27.30%', '7.40%', '3.30%', '18.70%', '50.90M', '45.90M', '1.42%', '3.07', '33.17', '-18.16%', '30.05%', '212.87K', '576,955', '-11.16%', '21.83%', '17.22%'],
[['GHL'], '-', '266.60M', '47.10M', '309.00M', '3.47', '4.46', '0.20', '1.44%', '358', '3.00', '15.08', '7.62', '-', '0.86', '4.01', '3.12', '3.74', '-', '-', '4.44', '4.44', '-4.56%', '-7.17%', '-8.80%', '8.60%', '75.20%', '11.40%', '97.00%', '23.00%', '15.30%', '8.00%', '19.61M', '14.02M', '6.25%', '10.35', '17.25', '-30.81%', '42.56%', '84.74K', '264,982', '-18.24%', '12.82%', '14.50%'],
[['GIII'], '-', '1.42B', '123.30M', '2.36B', '28.48', '10.22', '-', '-', '2800', '2.70', '11.33', '8.34', '-', '0.60', '1.00', '2.78', '7.30', '2.00', '3.00', '0.37', '0.37', '-6.71%', '-5.55%', '-4.45%', '5.00%', '9.20%', '3.80%', '37.10%', '9.60%', '5.20%', '0.00%', '48.48M', '42.29M', '9.77%', '11.84', '37.43', '-20.53%', '118.68%', '348.84K', '988,994', '-17.79%', '92.62%', '19.84%'],
[['GKOS'], '-', '2.64B', '-60.30M', '284.10M', '12.62', '8.54', '-', '-', '653', '3.20', '-', '-', '-', '9.30', '4.27', '6.31', '-', '1.40', '1.40', '0.60', '0.12', '-0.52%', '-0.49%', '-28.78%', '-5.90%', '-9.60%', '-12.20%', '74.70%', '-17.50%', '-21.20%', '-', '46.31M', '44.77M', '5.12%', '3.54', '51.67', '-45.52%', '23.55%', '648.90K', '939,275', '-39.00%', '10.62%', '-28.33%'],
[['GLT'], '-', '649.47M', '22.20M', '939.30M', '12.82', '1.88', '0.56', '3.86%', '2415', '2.00', '29.25', '14.51', '146.27', '0.69', '1.13', '7.71', '10.99', '1.10', '2.00', '0.84', '0.78', '-5.92%', '-3.69%', '-8.63%', '2.00%', '4.60%', '3.50%', '16.40%', '5.70%', '2.80%', '91.80%', '44.56M', '43.43M', '1.15%', '2.56', '19.00', '-25.51%', '12.39%', '195.20K', '648,616', '-17.42%', '1.90%', '-11.42%'],
[['GMS'], '-', '2.00B', '139.50M', '3.54B', '20.36', '0.98', '-', '-', '5843', '2.10', '14.02', '7.90', '1.12', '0.56', '2.20', '45.80', '32.21', '1.20', '2.10', '1.21', '1.16', '-8.59%', '-7.34%', '8.93%', '5.80%', '17.60%', '8.90%', '32.20%', '6.70%', '3.90%', '0.00%', '43.09M', '42.37M', '1.74%', '2.71', '55.00', '-16.88%', '109.11%', '272.62K', '622,208', '5.07%', '93.01%', '46.85%'],
[['GNL'], '-', '1.67B', '-28.10M', '358.70M', '17.13', '1.70', '1.60', '9.83%', '1', '2.40', '-', '98.67', '-', '4.66', '0.95', '9.56', '-', '-', '-', '1.48', '1.48', '-4.20%', '-8.18%', '-10.05%', '-0.70%', '-1.80%', '2.40%', '80.60%', '28.60%', '-7.80%', '-', '96.39M', '-', '-', '2.44', '23.25', '-19.07%', '16.70%', '692.16K', '2,525,484', '-9.05%', '-3.95%', '-5.02%']
[['GNW'], '-', '1.88B', '1.13B', '8.71B', '29.91', '4.15', '-', '-', '3000', '3.00', '1.61', '4.54', '0.32', '0.22', '0.12', '0.85', '2.11', '-', '-', '0.19', '0.19', '-2.36%', '-0.41%', '-4.88%', '1.10%', '7.40%', '5.10%', '-', '19.70%', '12.80%', '0.00%', '507.00M', '501.79M', '3.02%', '4.93', '-', '-26.05%', '37.50%', '3.07M', '8,782,485', '1.44%', '14.29%', '-6.88%']
[['GPI'], '-', '3.32B', '501.40M', '12.74B', '99.10', '10.92', '1.32', '0.72%', '12337', '1.90', '6.48', '6.56', '-', '0.26', '1.84', '16.71', '4.45', '0.50', '1.30', '1.07', '0.75', '11.52%', '9.58%', '17.37%', '10.00%', '32.70%', '10.00%', '16.80%', '5.90%', '3.90%', '3.30%', '17.70M', '17.34M', '10.84%', '10.01', '251.40', '0.25%', '121.51%', '187.68K', '365,865', '11.02%', '97.80%', '39.10%'],
[['GPMT'], '-', '758.30M', '40.60M', '206.80M', '17.20', '4.22', '1.00', '7.41%', '-', '2.20', '22.35', '10.84', '31.98', '3.67', '0.78', '3.20', '-', '-', '-', '3.03', '2.27', '0.08%', '-1.70%', '8.49%', '1.00%', '4.30%', '-1.00%', '45.70%', '20.00%', '19.70%', '94.90%', '55.01M', '53.90M', '1.78%', '3.32', '15.00', '-15.20%', '150.77%', '288.09K', '885,836', '6.30%', '104.77%', '35.14%'],
[['GPRE'], '-', '1.87B', '-88.60M', '2.18B', '19.02', '9.25', '-', '-', '839', '1.80', '-', '34.13', '-', '0.86', '1.83', '3.76', '-', '2.00', '2.80', '0.83', '0.62', '-0.74%', '0.21%', '27.63%', '-4.60%', '-10.80%', '-9.70%', '9.80%', '0.60%', '-3.70%', '-', '45.42M', '42.51M', '23.44%', '8.88', '46.44', '-9.73%', '191.97%', '1.12M', '3,786,793', '35.70%', '132.80%', '164.09%']
[['GTLS'], '-', '6.95B', '85.00M', '1.20B', '44.27', '5.46', '-', '-', '4318', '1.80', '88.01', '34.06', '1.91', '5.81', '4.34', '35.16', '339.25', '0.80', '1.30', '0.45', '0.29', '2.47%', '13.11%', '30.40%', '11.90%', '20.80%', '4.10%', '28.10%', '9.20%', '26.10%', '0.00%', '36.35M', '36.24M', '12.45%', '10.71', '174.71', '-2.76%', '201.71%', '420.90K', '662,114', '30.20%', '170.90%', '62.97%'],
[['GTY'], '-', '1.37B', '75.10M', '150.90M', '15.43', '0.42', '1.56', '5.19%', '31', '2.20', '17.40', '24.51', '-', '9.09', '1.95', '72.23', '60.19', '-', '-', '0.79', '0.79', '-3.32%', '-4.69%', '-0.02%', '5.60%', '11.40%', '5.80%', '84.30%', '46.20%', '49.80%', '89.10%', '44.44M', '38.14M', '2.53%', '5.62', '34.90', '-12.22%', '20.75%', '172.00K', '524,704', '4.67%', '9.00%', '9.04%'],
[['GVA'], '-', '1.85B', '-94.90M', '3.64B', '20.86', '12.72', '0.52', '1.30%', '2800', '2.70', '-', '19.36', '-', '0.51', '1.92', '3.14', '16.26', '1.40', '1.50', '0.36', '0.35', '-0.07%', '1.45%', '9.02%', '-3.90%', '-10.00%', '-12.00%', '11.30%', '-2.60%', '-2.60%', '-', '45.80M', '45.28M', '6.44%', '9.19', '47.33', '-9.84%', '135.97%', '317.44K', '1,439,352', '3.39%', '115.60%', '49.57%']
[['GWB'], '-', '1.81B', '162.50M', '444.10M', '21.03', '32.49', '0.20', '0.63%', '1607', '2.70', '10.76', '11.26', '2.91', '4.07', '1.50', '0.97', '9.51', '-', '-', '0.09', '0.09', '4.47%', '3.25%', '8.39%', '1.30%', '14.50%', '30.40%', '-', '92.60%', '36.60%', '1.40%', '55.21M', '54.84M', '2.11%', '3.63', '35.17', '-10.26%', '167.54%', '318.42K', '2,841,650', '-2.56%', '134.37%', '51.05%']
[['HA'], '-', '1.08B', '-326.50M', '818.70M', '11.93', '41.59', '-', '-', '5968', '3.00', '-', '20.05', '-', '1.32', '1.72', '0.49', '14.59', '1.70', '1.70', '3.55', '3.28', '3.93%', '2.60%', '-10.38%', '-7.20%', '-51.40%', '-24.50%', '-20.20%', '-48.20%', '-39.90%', '-', '51.16M', '50.07M', '6.22%', '2.93', '22.44', '-34.51%', '69.14%', '1.06M', '1,104,086', '-26.71%', '39.61%', '16.10%']
[['HAFC'], '-', '587.00M', '68.90M', '215.90M', '19.81', '22.86', '0.48', '2.55%', '602', '2.50', '8.31', '9.43', '1.04', '2.72', '0.95', '0.82', '3.88', '-', '-', '0.20', '0.20', '0.63%', '2.08%', '6.74%', '1.10%', '11.80%', '17.00%', '-', '85.30%', '31.90%', '16.80%', '30.44M', '30.33M', '1.85%', '4.00', '20.83', '-15.70%', '151.37%', '140.10K', '584,089', '-7.53%', '115.73%', '65.70%'],
[['HAYN'], '-', '471.75M', '-17.20M', '322.30M', '23.57', '5.75', '0.88', '2.41%', '1037', '1.70', '-', '38.49', '-', '1.46', '1.55', '6.36', '12.07', '2.30', '6.40', '0.00', '0.03', '-3.60%', '-2.01%', '17.03%', '-3.10%', '-5.80%', '0.50%', '8.40%', '-5.30%', '-5.30%', '-', '12.52M', '12.40M', '1.80%', '4.95', '45.00', '-10.41%', '139.18%', '44.97K', '263,813', '21.21%', '89.68%', '53.40%'],
[['HCC'], '-', '1.17B', '-74.20M', '833.50M', '13.57', '5.51', '0.20', '0.86%', '431', '2.70', '-', '9.36', '-', '1.40', '1.72', '4.24', '8.89', '2.90', '3.50', '0.64', '0.60', '1.92%', '16.61%', '20.00%', '-5.40%', '-10.30%', '-0.30%', '17.90%', '-5.10%', '-8.90%', '-', '51.45M', '50.98M', '3.22%', '1.83', '21.57', '-12.84%', '79.20%', '899.12K', '1,285,559', '25.00%', '12.80%', '9.52%']
[['HCI'], '-', '921.84M', '24.70M', '333.70M', '28.79', '73.42', '1.60', '1.48%', '436', '2.30', '34.56', '91.97', '1.38', '2.76', '3.75', '1.47', '19.37', '-', '-', '0.74', '0.74', '0.11%', '4.04%', '37.89%', '2.50%', '11.80%', '0.60%', '-', '3.80%', '7.40%', '47.90%', '7.53M', '6.37M', '16.74%', '11.04', '105.00', '-9.40%', '133.41%', '96.61K', '143,542', '48.02%', '108.75%', '106.63%'],
[['HFWA'], '-', '891.69M', '98.60M', '217.40M', '23.78', '34.70', '0.80', '3.29%', '804', '2.80', '8.92', '14.64', '1.27', '4.10', '1.02', '0.70', '-', '-', '-', '0.02', '0.02', '-1.37%', '0.38%', '-6.08%', '1.40%', '11.90%', '23.00%', '-', '97.00%', '45.30%', '29.20%', '35.99M', '35.37M', '3.26%', '7.47', '26.90', '-21.22%', '39.79%', '154.31K', '706,836', '-16.92%', '23.90%', '3.93%'],
[['HI'], '-', '3.08B', '187.90M', '2.80B', '16.29', '6.44', '0.86', '2.06%', '11000', '1.50', '16.85', '11.32', '1.35', '1.10', '2.56', '6.48', '5.36', '1.00', '1.40', '0.99', '0.99', '-5.59%', '-5.94%', '-7.15%', '4.70%', '16.00%', '0.80%', '34.50%', '13.50%', '6.70%', '34.40%', '75.50M', '72.36M', '1.97%', '3.45', '60.75', '-21.12%', '58.15%', '413.57K', '2,128,121', '-17.47%', '48.43%', '4.72%']
[['HIBB'], '-', '1.17B', '180.40M', '1.63B', '25.50', '11.73', '1.00', '1.29%', '3600', '1.80', '7.25', '7.95', '1.01', '0.71', '3.04', '6.61', '12.80', '1.00', '2.10', '0.01', '0.01', '-12.12%', '-12.79%', '6.85%', '22.40%', '45.10%', '21.90%', '39.10%', '14.40%', '11.10%', '2.20%', '15.69M', '12.67M', '22.46%', '5.78', '107.14', '-22.72%', '117.72%', '492.38K', '1,68,233', '1.96%', '96.23%', '67.89%']
[['HLIT'], '-', '922.52M', '0.00M', '451.40M', '2.64', '1.12', '-', '-', '916', '2.20', '8980.00', '20.04', '462.89', '2.04', '3.40', '8.01', '24.53', '1.40', '1.60', '0.57', '0.55', '-3.07%', '-0.45%', '11.92%', '0.00%', '0.00%', '-4.10%', '52.60%', '2.90%', '0.00%', '0.00%', '101.22M', '98.78M', '9.89%', '12.55', '11.50', '-16.47%', '72.69%', '778.35K', '1,690,259', '10.05%', '62.09%', '21.52%']
[['HLX'], '-', '565.58M', '9.00M', '678.70M', '11.33', '1.61', '-', '-', '1536', '2.70', '62.17', '-', '-', '0.83', '0.33', '2.32', '3.22', '1.90', '1.90', '0.20', '0.16', '0.27%', '-8.47%', '-21.70%', '0.50%', '0.70%', '1.60%', '9.70%', '2.60%', '1.70%', '0.00%', '150.03M', '141.91M', '4.43%', '3.34', '5.61', '-44.82%', '69.55%', '1.88M', '3,93,832', '-31.56%', '20.71%', '-11.19%']
[['HMN'], '-', '1.67B', '170.30M', '1.36B', '43.25', '0.70', '1.24', '3.13%', '1490', '3.00', '9.80', '11.77', '0.77', '1.22', '0.92', '56.64', '10.39', '-', '-', '0.23', '0.23', '-2.54%', '-0.34%', '-2.03%', '1.30%', '9.70%', '6.50%', '-', '16.40%', '12.50%', '30.10%', '42.00M', '40.95M', '2.46%', '5.53', '42.00', '-11.35%', '22.60%', '181.74K', '562,741', '-8.76%', '13.51%', '-5.66%'],
[['HMST'], '-', '796.36M', '112.80M', '248.40M', '33.66', '-', '1.00', '2.65%', '997', '2.70', '7.37', '9.21', '1.05', '3.21', '1.12', '-', '5.16', '-', '-', '0.18', '0.09', '-4.10%', '-3.26%', '-6.75%', '1.60%', '16.00%', '19.70%', '-', '91.80%', '45.40%', '15.40%', '21.06M', '20.09M', '3.09%', '5.29', '45.17', '-28.02%', '56.03%', '117.16K', '434,021', '-18.76%', '38.77%', '11.88%'],
[['HNGR'], '-', '850.03M', '29.70M', '1.05B', '1.65', '1.98', '-', '-', '4700', '1.50', '28.98', '16.58', '2.90', '0.81', '13.36', '11.16', '13.12', '1.00', '1.40', '7.94', '7.75', '-2.36%', '-4.90%', '-6.83%', '3.20%', '60.50%', '12.90%', '68.40%', '6.10%', '2.80%', '0.00%', '38.65M', '36.54M', '2.64%', '6.65', '29.00', '-17.38%', '42.17%', '145.22K', '772,979', '-9.52%', '20.82%', '0.27%'],
[['HNI'], '-', '1.65B', '85.70M', '2.06B', '14.49', '2.68', '1.24', '3.32%', '7500', '1.50', '18.94', '13.51', '2.10', '0.80', '2.58', '13.95', '12.90', '0.80', '1.20', '0.30', '0.29', '0.15%', '-3.50%', '-5.04%', '6.00%', '14.20%', '6.30%', '36.90%', '5.70%', '4.20%', '61.50%', '43.78M', '43.31M', '2.06%', '5.03', '52.50', '-20.37%', '23.46%', '177.58K', '611,956', '-8.56%', '12.70%', '8.44%'],
[['HOPE'], '-', '1.70B', '156.30M', '565.40M', '16.93', '7.00', '0.56', '4.11%', '1408', '3.00', '10.83', '8.83', '1.35', '3.00', '0.81', '1.95', '12.64', '-', '-', '0.15', '0.15', '0.03%', '0.59%', '-0.15%', '0.90%', '7.60%', '18.50%', '-', '86.20%', '27.60%', '44.20%', '123.59M', '117.12M', '2.43%', '3.67', '15.20', '-17.94%', '93.75%', '774.15K', '2,438,706', '-14.06%', '73.19%', '24.93%']
[['HP'], '-', '2.84B', '-319.90M', '1.08B', '27.88', '5.14', '1.00', '3.82%', '3634', '2.50', '-', '-', '-', '2.62', '0.94', '5.09', '-', '3.40', '3.70', '0.16', '0.16', '-1.23%', '-5.88%', '-6.48%', '-6.80%', '-10.10%', '-12.20%', '21.50%', '-39.20%', '-29.40%', '-', '107.90M', '104.20M', '6.98%', '6.00', '31.04', '-27.85%', '103.26%', '1.21M', '2,752,547', '-14.70%', '57.97%', '12.95%']
[['HSC'], '-', '1.33B', '2.90M', '2.12B', '8.75', '0.96', '-', '-', '12000', '1.70', '496.97', '14.29', '49.70', '0.63', '1.87', '17.13', '-', '1.30', '1.60', '1.94', '1.91', '-8.79%', '-12.43%', '-13.96%', '-0.10%', '-0.30%', '1.10%', '19.90%', '3.40%', '-0.10%', '-', '79.27M', '77.78M', '4.00%', '9.65', '26.67', '-30.89%', '35.31%', '322.73K', '1,21,714', '-11.35%', '6.70%', '-8.79%']
[['HSII'], '-', '838.02M', '15.00M', '762.70M', '15.35', '12.03', '0.60', '1.41%', '1678', '1.70', '60.50', '12.66', '6.05', '1.10', '2.76', '3.52', '10.72', '1.50', '1.50', '0.00', '0.00', '-0.28%', '1.31%', '11.70%', '2.00%', '5.40%', '-15.60%', '97.50%', '2.40%', '2.00%', '78.70%', '19.51M', '19.26M', '1.91%', '3.82', '51.33', '-9.57%', '122.86%', '96.56K', '472,198', '12.79%', '93.65%', '44.35%'],
[['HSKA'], '-', '2.70B', '-1.50M', '246.40M', '42.66', '23.69', '-', '-', '602', '2.20', '-', '315.81', '-', '10.96', '6.11', '11.01', '144.38', '7.00', '8.00', '0.19', '0.19', '-1.15%', '1.69%', '30.33%', '-0.30%', '-0.40%', '-2.50%', '41.70%', '0.50%', '-0.60%', '-', '10.17M', '10.05M', '3.09%', '5.35', '287.00', '-5.46%', '177.81%', '58.07K', '179,683', '46.84%', '169.73%', '79.10%'],
[['HSTM'], '-', '929.05M', '8.30M', '251.00M', '10.79', '1.74', '-', '-', '1037', '2.50', '112.18', '127.30', '9.35', '3.70', '2.71', '16.86', '21.31', '1.00', '1.00', '0.00', '0.00', '-1.23%', '-0.37%', '15.36%', '1.70%', '2.50%', '3.60%', '64.20%', '4.40%', '3.30%', '0.00%', '31.55M', '25.07M', '2.30%', '6.28', '31.00', '-5.88%', '63.10%', '91.88K', '285,927', '28.59%', '45.82%', '34.07%'],
[['HT'], '-', '371.98M', '-119.60M', '186.30M', '14.98', '1.75', '-', '-', '32', '3.20', '-', '-', '-', '2.00', '0.63', '5.38', '-', '-', '-', '1.90', '1.90', '2.54%', '0.28%', '-4.92%', '-6.20%', '-19.30%', '-7.30%', '6.20%', '-52.80%', '-64.20%', '-', '39.10M', '33.00M', '2.68%', '2.72', '11.65', '-27.89%', '100.21%', '325.26K', '1,423,395', '-18.88%', '49.13%', '19.26%']
[['HTH'], '-', '2.64B', '484.70M', '548.40M', '30.25', '27.40', '0.48', '1.50%', '4900', '2.80', '5.67', '12.50', '0.38', '4.82', '1.06', '1.17', '167.36', '-', '-', '0.19', '0.19', '-2.63%', '-2.90%', '-3.21%', '2.80%', '20.30%', '7.60%', '-', '83.90%', '89.20%', '7.90%', '81.66M', '62.16M', '5.03%', '6.29', '34.75', '-18.99%', '80.22%', '496.93K', '1,852,119', '-15.76%', '66.65%', '16.61%']
[['HTLD'], '-', '1.27B', '72.90M', '624.60M', '9.28', '2.10', '0.08', '0.50%', '3780', '2.80', '17.67', '15.68', '1.33', '2.04', '1.72', '7.62', '-', '3.20', '3.20', '0.00', '0.00', '-3.25%', '-2.47%', '-9.71%', '7.60%', '10.00%', '9.70%', '-', '15.50%', '11.70%', '8.90%', '79.91M', '39.68M', '3.22%', '3.84', '19.00', '-19.26%', '1.30%', '332.87K', '1,129,237', '-14.33%', '-16.93%', '-9.22%']
[['HUBG'], '-', '2.31B', '91.00M', '3.78B', '36.11', '7.28', '-', '-', '5000', '2.10', '25.33', '15.16', '1.20', '0.61', '1.89', '9.39', '15.92', '1.40', '1.40', '0.19', '0.12', '-0.68%', '2.51%', '6.77%', '4.30%', '7.80%', '5.80%', '11.70%', '3.30%', '2.40%', '0.00%', '33.43M', '32.60M', '2.15%', '3.89', '79.00', '-8.81%', '44.87%', '180.37K', '622,612', '3.09%', '31.72%', '19.91%'],
[['HVT'], '-', '642.97M', '86.00M', '945.30M', '14.36', '12.56', '1.00', '2.91%', '2766', '2.00', '7.75', '7.60', '0.59', '0.68', '2.39', '2.73', '6.88', '1.10', '1.60', '0.00', '0.00', '-3.40%', '-7.86%', '-8.51%', '12.10%', '31.80%', '23.30%', '56.70%', '11.60%', '9.10%', '19.40%', '20.16M', '15.84M', '16.20%', '11.61', '-', '-35.07%', '87.65%', '221.09K', '691,830', '-12.94%', '66.04%', '24.00%'],
[['HWKN'], '-', '720.71M', '45.80M', '634.90M', '13.08', '0.24', '0.52', '1.53%', '742', '2.00', '15.69', '-', '-', '1.14', '2.59', '138.60', '25.02', '1.50', '2.50', '0.35', '0.31', '-7.01%', '-2.55%', '5.82%', '10.10%', '17.40%', '11.30%', '20.80%', '9.80%', '7.20%', '21.90%', '21.03M', '19.23M', '0.97%', '3.74', '44.00', '-14.67%', '53.64%', '50.15K', '300,479', '-3.72%', '37.08%', '29.61%'],
[['HZO'], '-', '1.08B', '147.70M', '2.00B', '25.88', '9.29', '-', '-', '1736', '2.40', '7.77', '7.74', '0.26', '0.54', '1.94', '5.40', '2.77', '1.30', '2.20', '0.10', '0.08', '2.80%', '-0.02%', '4.28%', '16.30%', '29.10%', '13.80%', '30.10%', '9.90%', '7.40%', '0.00%', '22.13M', '21.32M', '14.82%', '9.46', '59.67', '-29.31%', '115.62%', '334.01K', '669,173', '-18.27%', '106.30%', '43.05%'],
[['IBP'], '-', '3.57B', '110.40M', '1.79B', '12.34', '-', '1.20', '1.00%', '8950', '2.20', '32.35', '17.34', '0.89', '2.00', '9.76', '-', '34.48', '2.00', '2.40', '1.58', '1.51', '-1.66%', '0.24%', '3.38%', '9.10%', '33.30%', '14.40%', '30.40%', '9.80%', '6.20%', '16.00%', '29.38M', '23.26M', '4.59%', '5.29', '141.20', '-14.29%', '41.45%', '201.89K', '317,756', '7.88%', '24.52%', '18.21%'],
[['IBTX'], '-', '2.89B', '235.40M', '597.40M', '59.47', '63.80', '1.36', '2.08%', '1513', '2.00', '11.89', '13.14', '1.19', '4.84', '1.10', '1.03', '14.96', '-', '-', '0.14', '0.14', '-4.51%', '-6.10%', '-7.61%', '1.30%', '9.40%', '14.70%', '-', '87.30%', '39.30%', '21.30%', '42.76M', '37.27M', '2.60%', '7.17', '79.83', '-18.94%', '59.21%', '135.29K', '532,922', '-16.75%', '42.25%', '4.64%'],
[['ICHR'], '-', '1.27B', '60.60M', '1.02B', '16.27', '8.54', '-', '-', '1600', '1.80', '19.42', '10.61', '1.16', '1.25', '2.71', '5.16', '15.46', '1.90', '2.70', '0.36', '0.34', '0.79%', '-3.39%', '-4.86%', '8.10%', '15.60%', '7.00%', '15.90%', '6.90%', '5.90%', '0.00%', '28.18M', '28.11M', '2.47%', '2.70', '66.80', '-30.54%', '116.46%', '256.65K', '325,046', '-5.65%', '102.62%', '46.13%'],
[['IDCC'], '-', '2.10B', '29.60M', '348.40M', '22.86', '27.14', '1.40', '2.05%', '514', '1.20', '71.80', '24.61', '4.79', '6.04', '2.99', '2.52', '66.98', '3.90', '3.90', '0.00', '0.60', '-3.38%', '-1.58%', '-0.69%', '1.90%', '4.00%', '5.40%', '-', '7.90%', '8.50%', '145.60%', '30.80M', '30.32M', '5.62%', '8.84', '97.00', '-20.37%', '25.58%', '192.71K', '493,960', '5.78%', '15.44%', '12.52%'],
[['IIIN'], '-', '671.39M', '48.90M', '557.60M', '14.31', '4.63', '0.12', '0.35%', '881', '2.00', '13.80', '12.69', '1.06', '1.20', '2.42', '7.48', '23.56', '2.10', '3.00', '0.00', '0.00', '-6.64%', '-6.90%', '6.37%', '14.40%', '18.70%', '6.60%', '18.10%', '11.30%', '8.80%', '4.70%', '19.35M', '18.40M', '1.77%', '2.82', '40.00', '-21.39%', '118.76%', '115.79K', '353,146', '-4.82%', '91.93%', '55.32%'],
[['IIPR'], '-', '5.78B', '93.90M', '163.20M', '62.84', '6.29', '5.60', '2.41%', '19', '1.90', '58.30', '34.99', '-', '35.41', '3.70', '36.97', '-', '-', '-', '0.29', '0.29', '-3.06%', '3.20%', '18.97%', '5.20%', '6.50%', '4.20%', '96.80%', '63.70%', '57.60%', '126.50%', '23.89M', '23.49M', '5.81%', '7.64', '250.57', '-8.23%', '107.34%', '178.70K', '423,972', '30.58%', '84.45%', '27.09%'],
[['ILPT'], '-', '1.72B', '92.60M', '233.60M', '15.34', '0.46', '1.32', '5.12%', '-', '2.80', '18.14', '13.42', '10.08', '7.36', '1.68', '56.41', '15.63', '-', '-', '0.89', '0.65', '-4.49%', '-4.37%', '4.98%', '4.50%', '9.30%', '5.80%', '86.20%', '44.80%', '39.60%', '92.90%', '65.15M', '64.38M', '1.50%', '4.09', '28.75', '-7.80%', '37.37%', '236.78K', '1,212,190', '11.85%', '13.77%', '10.65%']
[['INDB'], '-', '2.43B', '144.00M', '391.10M', '52.72', '66.72', '1.92', '2.68%', '1432', '1.70', '16.40', '14.86', '6.56', '6.22', '1.36', '1.07', '20.26', '-', '-', '0.08', '0.08', '-4.28%', '-2.23%', '-9.02%', '1.10%', '8.70%', '15.10%', '-', '94.90%', '38.00%', '41.20%', '33.03M', '32.58M', '6.12%', '10.93', '90.50', '-28.36%', '45.24%', '182.46K', '484,715', '-21.02%', '31.63%', '-2.07%'],
[['INGN'], '-', '1.13B', '-2.50M', '336.80M', '16.53', '10.88', '-', '-', '938', '2.80', '-', '-', '-', '3.36', '2.98', '4.53', '30.25', '4.90', '5.30', '0.00', '0.00', '-13.09%', '-23.32%', '-13.61%', '-0.50%', '-0.70%', '-2.10%', '46.70%', '0.50%', '-0.70%', '-', '22.44M', '22.28M', '2.51%', '2.95', '71.00', '-40.19%', '83.09%', '189.75K', '612,534', '-3.28%', '72.14%', '10.23%'],
[['INN'], '-', '1.00B', '-142.50M', '245.00M', '8.95', '0.52', '-', '-', '46', '1.70', '-', '618.67', '-', '4.09', '1.04', '17.87', '-', '-', '-', '1.15', '1.15', '2.08%', '2.72%', '-2.56%', '-6.40%', '-14.60%', '-5.30%', '34.50%', '-40.00%', '-58.20%', '-', '104.50M', '103.15M', '4.80%', '6.28', '11.67', '-18.02%', '96.61%', '789.41K', '2,675,000', '-13.75%', '57.02%', '3.00%']
[['INT'], '-', '2.06B', '115.00M', '22.23B', '30.70', '11.84', '0.48', '1.46%', '4300', '2.00', '18.19', '13.78', '3.64', '0.09', '1.07', '2.78', '4.67', '1.20', '1.40', '0.27', '0.25', '2.56%', '3.07%', '0.26%', '2.40%', '6.00%', '6.80%', '3.40%', '0.90%', '0.50%', '29.70%', '63.40M', '61.72M', '3.42%', '3.15', '37.50', '-12.77%', '79.03%', '670.05K', '1,784,609', '-10.46%', '29.21%', '5.49%']
[['INVA'], '-', '1.10B', '265.20M', '365.50M', '3.73', '-', '-', '-', '5', '4.00', '6.32', '9.54', '0.33', '3.01', '4.20', '-', '3.35', '27.60', '27.60', '1.18', '1.18', '1.92%', '6.09%', '21.79%', '27.90%', '53.30%', '28.20%', '-', '94.50%', '72.60%', '0.00%', '88.42M', '69.02M', '14.43%', '13.99', '-', '-6.39%', '69.92%', '711.86K', '4,57,747', '27.65%', '34.80%', '26.31%']
[['IOSP'], '-', '2.13B', '81.10M', '1.27B', '39.53', '3.76', '1.04', '1.23%', '1900', '2.30', '25.93', '16.29', '3.46', '1.67', '2.14', '22.52', '24.19', '1.30', '2.20', '0.00', '0.00', '-6.91%', '-5.95%', '-11.16%', '5.80%', '8.50%', '2.40%', '29.80%', '8.80%', '6.40%', '33.10%', '24.63M', '24.35M', '1.59%', '3.63', '114.50', '-21.38%', '37.77%', '106.72K', '312,972', '-18.84%', '26.32%', '-6.65%'],
[['IPAR'], '-', '2.27B', '81.60M', '750.80M', '17.73', '9.16', '1.00', '1.44%', '396', '2.50', '27.08', '30.85', '2.26', '3.02', '3.93', '7.61', '-', '2.40', '3.10', '0.29', '0.24', '-4.05%', '-5.34%', '-0.72%', '8.80%', '15.30%', '9.00%', '55.20%', '20.00%', '10.90%', '19.40%', '31.65M', '17.70M', '1.50%', '2.72', '88.00', '-12.82%', '91.06%', '97.71K', '228,242', '-3.46%', '72.21%', '15.16%'],
