Ticker,IndexMarketCap,Income,Sales,Booksh,Cashsh,Dividend,Dividend_Percentage,Employees,Recom,PriceToEarnings,ForwardPTE,PEGPriceToSales,PriceToBook,PutCallRatio,PFCF,QuickRatio,CurrentRatio,DebtEquity,LdDebtEquity,SMA20,SMA50,SMA200,ROA,ROE,ROI,GrossMargin,OperationalMargin,ProfitMargin,Payout,SHSOutstanding,ShsFloat,ShoartFloat,ShortRatio,TargetPrice,52WH,52WL,AVGVol,Vol,PerformaceHalfYear,PerformanceYear,PerformanceYTD,,,,
[['ADTN'], '-', '950.59M', '17.60M', '534.00M', '7.75', '1.46', '0.36', '1.89%', '1405', '1.90', '53.21', '23.64', '23.14', '1.78', '2.46', '13.08', '-', '1.90', '3.00', '0.00', '0.00', '-10.47%', '-11.43%', '2.36%', '3.30%', '4.70%', '-0.30%', '42.90%', '0.70%', '3.30%', '98.70%', '48.45M', '48.05M', '2.66%', '3.52', '25.00', '-23.06%', '97.20%', '362.70K', '945,264', '6.66%', '84.06%', '28.98%'],
[['ADUS'], '-', '1.40B', '38.10M', '813.20M', '34.57', '8.62', '-', '-', '6027', '1.50', '36.45', '21.63', '2.43', '1.72', '2.50', '10.04', '27.23', '2.50', '2.50', '0.36', '0.36', '-2.24%', '-1.08%', '-14.34%', '4.50%', '7.20%', '5.00%', '29.70%', '6.60%', '4.70%', '0.00%', '15.74M', '15.64M', '2.06%', '2.83', '125.71', '-32.90%', '7.77%', '113.90K', '206,105', '-20.94%', '-9.91%', '-26.07%'],
[['AEIS'], '-', '3.31B', '161.30M', '1.47B', '22.82', '13.42', '0.40', '0.46%', '10000', '2.40', '20.82', '14.91', '2.08', '2.25', '3.81', '6.49', '18.69', '2.10', '2.90', '0.36', '0.34', '-0.44%', '-6.63%', '-15.35%', '9.60%', '19.60%', '13.50%', '38.80%', '13.50%', '11.00%', '4.70%', '38.39M', '37.90M', '1.75%', '2.94', '111.50', '-30.67%', '52.61%', '225.87K', '669,236', '-15.74%', '45.01%', '-10.23%'],
[['AEL'], '-', '2.79B', '861.10M', '3.87B', '66.41', '122.20', '0.32', '1.08%', '655', '2.60', '3.20', '6.28', '-', '0.72', '0.45', '0.24', '1.24', '-', '-', '0.09', '0.09', '-5.60%', '-6.58%', '-3.38%', '1.20%', '14.00%', '-8.40%', '-', '0.30%', '22.30%', '3.40%', '94.80M', '90.78M', '1.96%', '4.32', '35.00', '-13.69%', '55.09%', '412.71K', '2,517,075', '-3.56%', '34.98%', '6.87%']
[['AG'], '-', '3.10B', '-', '378.33M', '3.86', '-', '0.02', '0.16%', '-', '2.30', '47.16', '175.86', '1.01', '8.18', '3.19', '-', '-', '-', '-', '-', '-', '-1.74%', '-4.73%', '-17.90%', '-', '-', '-', '-', '-', '-', '-', '251.51M', '211.71M', '8.92%', '4.84', '9.54', '-48.73%', '31.94%', '3.90M', '7,469,388', '-26.99%', '1.23%', '-8.41%']
[['AGYS'], '-', '1.37B', '-20.40M', '146.10M', '3.36', '4.04', '-', '-', '1350', '2.50', '-', '55.81', '-', '9.36', '15.83', '13.17', '34.29', '2.30', '2.40', '0.00', '0.00', '-1.15%', '-3.29%', '4.91%', '-11.00%', '-25.20%', '-26.00%', '65.50%', '-12.70%', '-14.00%', '-', '25.18M', '22.16M', '2.09%', '5.35', '62.00', '-17.01%', '127.40%', '86.78K', '434,295', '-2.17%', '103.40%', '38.59%'],
[['AHH'], '-', '1.10B', '14.20M', '343.90M', '6.06', '0.52', '0.64', '4.85%', '158', '1.80', '54.73', '58.62', '10.95', '3.20', '2.18', '25.28', '28.48', '-', '-', '2.76', '2.74', '-0.39%', '-0.05%', '3.62%', '0.70%', '4.00%', '3.70%', '34.60%', '11.90%', '4.10%', '219.90%', '60.41M', '59.15M', '0.90%', '2.39', '15.30', '-8.28%', '60.85%', '222.41K', '678,387', '1.46%', '31.11%', '17.56%'],
[['AIN'], '-', '2.55B', '116.10M', '895.70M', '26.69', '7.70', '0.80', '1.03%', '4000', '2.60', '21.67', '21.46', '-', '2.85', '2.91', '10.08', '20.53', '3.40', '4.10', '0.40', '0.40', '-0.23%', '-3.22%', '-4.72%', '7.60%', '14.30%', '10.10%', '41.20%', '18.50%', '13.00%', '21.70%', '32.38M', '30.62M', '1.94%', '4.61', '91.83', '-16.87%', '59.91%', '128.91K', '351,501', '-8.86%', '44.37%', '5.79%'],
[['AIR'], '-', '1.16B', '45.90M', '1.65B', '27.84', '1.43', '0.30', '0.94%', '4700', '1.70', '24.72', '10.87', '1.81', '0.70', '1.15', '22.38', '12.36', '1.20', '2.80', '0.14', '0.14', '-3.76%', '-7.58%', '-15.85%', '2.20%', '3.80%', '4.20%', '16.70%', '3.90%', '2.10%', '7.40%', '35.00M', '33.81M', '6.43%', '8.07', '49.67', '-29.85%', '88.82%', '269.27K', '661,452', '-24.53%', '60.03%', '-11.90%'],
[['AIT'], '-', '3.24B', '144.80M', '3.24B', '24.10', '6.64', '1.32', '1.58%', '5947', '2.00', '22.69', '14.05', '1.89', '1.00', '3.46', '12.58', '18.51', '2.00', '2.80', '0.89', '0.84', '-4.68%', '-5.06%', '-5.46%', '6.40%', '15.90%', '9.80%', '29.10%', '6.30%', '4.50%', '34.80%', '38.70M', '38.01M', '1.45%', '3.83', '110.25', '-22.05%', '59.73%', '144.25K', '563,962', '-10.41%', '44.29%', '7.01%'],
[['AJRD'], '-', '3.38B', '129.10M', '2.14B', '4.25', '7.12', '-', '-', '4969', '3.00', '26.16', '20.62', '2.13', '1.58', '9.75', '5.82', '-', '1.30', '1.30', '1.43', '0.92', '-1.85%', '-7.47%', '-10.25%', '4.90%', '33.10%', '23.10%', '17.90%', '10.50%', '6.00%', '0.00%', '79.70M', '78.39M', '8.77%', '11.02', '51.00', '-16.85%', '43.06%', '623.26K', '1,310,388', '-11.09%', '15.00%', '-12.98%']
[['AKR'], '-', '1.84B', '-11.00M', '264.30M', '17.26', '0.38', '0.60', '2.96%', '120', '2.30', '-', '108.29', '-', '6.95', '1.17', '53.10', '28.31', '-', '-', '1.11', '1.11', '-3.20%', '-4.16%', '4.82%', '-0.30%', '-0.70%', '-3.00%', '62.80%', '-8.70%', '-4.20%', '-', '86.82M', '-', '-', '3.96', '24.14', '-11.84%', '122.53%', '537.88K', '1,121,938', '3.63%', '67.22%', '42.71%']
[['ALE'], '-', '3.30B', '167.50M', '1.29B', '44.49', '1.15', '2.52', '4.14%', '1331', '2.70', '18.94', '15.79', '3.34', '2.56', '1.37', '52.80', '-', '0.30', '0.50', '0.87', '0.72', '-8.74%', '-11.87%', '-9.39%', '2.70%', '7.30%', '4.70%', '94.90%', '11.50%', '13.00%', '77.60%', '52.20M', '51.97M', '1.29%', '3.24', '71.40', '-16.78%', '21.71%', '206.56K', '840,498', '-11.08%', '14.30%', '-1.79%'],
[['ALG'], '-', '1.75B', '71.60M', '1.24B', '56.74', '7.12', '0.56', '0.39%', '3990', '1.30', '24.09', '16.21', '3.65', '1.41', '2.56', '20.41', '15.34', '1.90', '3.40', '0.47', '0.45', '-3.14%', '-1.73%', '-3.32%', '6.10%', '11.30%', '7.90%', '25.00%', '8.50%', '5.80%', '8.90%', '11.84M', '11.66M', '0.94%', '3.72', '181.00', '-12.50%', '48.91%', '29.42K', '111,158', '-8.61%', '31.52%', '5.27%'],
[['ALRM'], '-', '4.13B', '81.60M', '685.80M', '11.51', '13.08', '-', '-', '1404', '2.20', '51.32', '40.42', '4.21', '6.02', '7.08', '6.23', '49.77', '7.50', '8.00', '0.73', '0.73', '-0.71%', '-1.70%', '-7.21%', '8.80%', '16.10%', '9.30%', '61.60%', '9.20%', '11.90%', '0.00%', '49.81M', '45.80M', '5.67%', '12.67', '110.71', '-25.05%', '55.59%', '204.90K', '561,988', '-5.87%', '51.03%', '-21.27%'],
[['AMBC'], '-', '632.28M', '-147.00M', '295.00M', '22.82', '0.28', '-', '-', '125', '3.00', '-', '-', '-', '2.14', '0.59', '48.64', '-', '-', '-', '6.68', '6.68', '-2.77%', '-5.36%', '-14.37%', '-1.10%', '-13.90%', '-2.50%', '-', '27.80%', '-49.80%', '-', '46.58M', '45.58M', '6.60%', '9.14', '-', '-27.59%', '20.99%', '329.38K', '556,488', '-24.89%', '16.09%', '-12.29%'],
[['AMCX'], '-', '2.04B', '279.30M', '2.90B', '17.27', '22.91', '-', '-', '2002', '3.10', '7.81', '6.02', '-', '0.70', '2.76', '2.08', '4.96', '2.10', '2.10', '3.90', '3.88', '1.47%', '-6.37%', '-7.72%', '5.20%', '40.30%', '7.80%', '54.40%', '15.10%', '9.60%', '0.00%', '42.48M', '28.64M', '20.58%', '16.90', '51.80', '-42.99%', '136.51%', '348.92K', '974,692', '-31.17%', '88.61%', '33.30%'],
[['AMEH'], '-', '5.18B', '52.60M', '708.60M', '9.09', '6.82', '-', '-', '630', '2.00', '75.22', '63.57', '-', '7.31', '10.65', '14.20', '354.62', '3.70', '3.70', '0.46', '0.46', '20.08%', '14.49%', '122.50%', '6.20%', '16.10%', '4.30%', '24.40%', '17.20%', '7.40%', '0.00%', '44.16M', '37.49M', '5.87%', '3.69', '83.50', '-15.49%', '497.22%', '597.32K', '6,954,085', '249.49%', '471.49%', '429.89%']
[['AMN'], '-', '5.28B', '172.50M', '2.93B', '20.28', '2.96', '-', '-', '3000', '1.70', '31.13', '24.86', '2.97', '1.80', '5.53', '37.86', '17.71', '1.40', '1.40', '0.87', '0.87', '0.43%', '6.49%', '30.74%', '6.90%', '19.80%', '7.60%', '32.90%', '9.50%', '5.90%', '0.00%', '47.66M', '46.84M', '1.66%', '2.72', '120.22', '-4.32%', '113.10%', '284.97K', '853,979', '45.81%', '96.03%', '64.26%'],
[['AMPH'], '-', '893.33M', '10.50M', '384.00M', '8.84', '2.41', '-', '-', '1980', '2.50', '87.06', '13.07', '3.48', '2.33', '2.08', '7.63', '17.05', '1.70', '2.50', '0.09', '0.07', '-2.35%', '-6.64%', '-3.37%', '1.60%', '2.60%', '1.70%', '43.10%', '6.40%', '2.70%', '0.00%', '47.73M', '36.79M', '6.52%', '11.30', '22.75', '-15.07%', '8.63%', '212.38K', '480,814', '1.66%', '-5.55%', '-8.65%'],
[['AMSF'], '-', '1.07B', '94.90M', '335.70M', '24.23', '2.94', '1.16', '2.13%', '393', '2.50', '11.13', '17.77', '1.11', '3.18', '2.25', '18.56', '-', '-', '-', '0.00', '0.00', '-3.69%', '-4.60%', '-9.31%', '6.30%', '20.70%', '19.70%', '-', '34.90%', '28.30%', '22.80%', '19.33M', '19.01M', '1.24%', '3.06', '71.50', '-18.78%', '5.11%', '76.80K', '214,698', '-16.67%', '-1.41%', '-5.10%'],
[['AMWD'], '-', '1.13B', '45.30M', '1.80B', '44.24', '1.63', '-', '-', '10000', '2.00', '24.98', '8.73', '3.12', '0.63', '1.50', '40.79', '14.92', '0.90', '1.80', '0.67', '0.67', '-8.31%', '-10.67%', '-25.55%', '2.80%', '6.00%', '7.20%', '16.30%', '5.10%', '2.50%', '0.00%', '16.66M', '16.38M', '1.53%', '2.01', '100.25', '-38.99%', '3.60%', '124.08K', '373,649', '-33.78%', '-18.97%', '-29.26%'],
[['ANDE'], '-', '983.06M', '73.50M', '10.37B', '30.74', '0.82', '0.70', '2.39%', '2359', '2.70', '13.43', '13.68', '1.68', '0.09', '0.95', '35.75', '-', '0.80', '1.30', '1.64', '0.85', '-2.51%', '2.65%', '5.04%', '1.80%', '7.50%', '0.70%', '5.10%', '1.10%', '0.70%', '31.60%', '33.26M', '31.03M', '1.45%', '2.81', '36.00', '-14.82%', '63.56%', '160.23K', '532,832', '1.91%', '49.62%', '19.58%'],
[['ANF'], '-', '2.18B', '274.90M', '3.59B', '15.57', '15.74', '-', '-', '7100', '2.20', '8.65', '9.89', '0.48', '0.61', '2.39', '2.37', '7.35', '1.20', '1.70', '0.00', '0.32', '2.28%', '-1.95%', '10.36%', '8.60%', '29.90%', '-6.30%', '63.00%', '9.70%', '7.70%', '0.00%', '61.43M', '58.03M', '11.49%', '3.63', '52.78', '-21.17%', '172.12%', '1.84M', '2,414,139', '3.84%', '142.87%', '83.10%']
[['ANGO'], '-', '986.08M', '-31.50M', '291.00M', '11.41', '1.24', '-', '-', '800', '2.50', '-', '165.42', '-', '3.39', '2.22', '20.46', '52.17', '1.60', '2.40', '0.05', '0.05', '-8.96%', '-6.94%', '11.04%', '-5.40%', '-7.00%', '-6.70%', '53.90%', '-12.10%', '-10.80%', '-', '38.52M', '37.10M', '2.03%', '3.12', '30.00', '-16.33%', '175.11%', '241.51K', '790,259', '18.71%', '170.99%', '65.10%'],
[['ANIK'], '-', '573.77M', '-12.70M', '136.80M', '19.93', '6.72', '-', '-', '277', '1.70', '-', '13226.67', '-', '4.19', '1.99', '5.90', '84.38', '3.30', '4.30', '0.00', '0.00', '-3.94%', '-3.69%', '-2.36%', '-3.40%', '-4.50%', '-8.70%', '55.50%', '-11.30%', '-9.30%', '-', '14.39M', '14.30M', '8.42%', '16.11', '49.67', '-17.97%', '23.85%', '74.72K', '296,854', '8.86%', '8.15%', '-12.33%'],
[['ANIP'], '-', '382.79M', '-17.20M', '213.40M', '15.88', '1.83', '-', '-', '369', '2.50', '-', '7.47', '-', '1.79', '1.82', '15.75', '47.26', '1.40', '2.10', '1.07', '0.99', '1.61%', '-6.08%', '-9.40%', '-3.70%', '-8.80%', '-3.30%', '59.20%', '-4.40%', '-8.10%', '-', '12.09M', '9.89M', '4.82%', '7.94', '45.00', '-27.77%', '22.68%', '60.11K', '295,972', '-15.85%', '-3.18%', '-0.52%'],
[['APEI'], '-', '504.60M', '18.40M', '331.60M', '21.58', '16.71', '-', '-', '1790', '1.70', '22.83', '14.84', '1.52', '1.52', '1.23', '1.59', '29.86', '6.50', '6.50', '0.00', '0.00', '0.76%', '-3.48%', '-11.46%', '4.40%', '5.20%', '5.80%', '62.30%', '7.70%', '5.50%', '0.00%', '18.68M', '18.19M', '2.52%', '4.11', '36.60', '-32.13%', '7.47%', '111.68K', '306,257', '-31.48%', '-4.83%', '-12.73%'],
[['APOG'], '-', '1.05B', '23.40M', '1.27B', '19.59', '1.40', '0.80', '1.98%', '6100', '2.60', '47.42', '14.20', '3.16', '0.83', '2.06', '28.82', '12.72', '1.40', '1.80', '0.33', '0.33', '-4.02%', '-0.11%', '7.31%', '2.30%', '4.50%', '2.80%', '22.70%', '2.80%', '1.80%', '87.40%', '25.40M', '24.78M', '2.85%', '5.22', '41.50', '-7.95%', '104.97%', '135.42K', '494,601', '1.64%', '71.91%', '27.53%'],
[['ARCB'], '-', '1.85B', '137.70M', '3.39B', '35.10', '16.91', '0.32', '0.43%', '13000', '1.90', '14.39', '11.64', '0.62', '0.54', '2.10', '4.37', '8.82', '1.50', '1.50', '0.26', '0.19', '8.96%', '14.86%', '18.86%', '7.70%', '16.30%', '6.90%', '77.20%', '5.20%', '4.10%', '5.90%', '25.59M', '25.14M', '4.81%', '3.92', '86.78', '-21.38%', '158.97%', '308.64K', '707,084', '5.82%', '133.77%', '73.12%'],
[['ARI'], '-', '2.19B', '194.90M', '425.90M', '16.40', '1.42', '1.40', '9.20%', '-', '3.00', '11.46', '10.63', '163.73', '5.13', '0.93', '10.68', '79.47', '-', '-', '0.00', '2.42', '-0.04%', '-0.43%', '7.43%', '2.70%', '8.50%', '1.40%', '65.80%', '55.00%', '45.80%', '101.60%', '139.88M', '138.90M', '1.38%', '2.48', '15.67', '-10.15%', '82.93%', '771.97K', '1,667,418', '4.03%', '60.21%', '36.26%']
[['ARLO'], '-', '554.40M', '-66.70M', '406.20M', '1.40', '2.14', '-', '-', '359', '2.40', '-', '-', '-', '1.36', '4.74', '3.10', '-', '1.30', '1.50', '0.00', '0.00', '7.80%', '7.99%', '-4.87%', '-18.00%', '-50.70%', '-78.80%', '24.10%', '-17.50%', '-16.40%', '-', '82.13M', '79.61M', '5.50%', '5.04', '9.75', '-36.80%', '53.12%', '869.18K', '2,335,411', '-17.95%', '17.14%', '-14.89%']
