IPO,MarketCap,Income,Sales,Booksh,Dividend,Dividend_Percentage,Employees,PriceToEarnings,ForwardPTE,PriceToSales,PriceToBook,PutCallRatio,QuickRatio,CurrentRatio,DebtEquity,ROA(%),ROE(%),ROI(%),GrossMargin(%),OperationalMargin,ProfitMargin(%),Payout(%),SHSOutstanding,ShsFloat,ShortFloat(%),ShortRatio,TargetPrice,PerformanceHalfYear(%),PerformanceYear(%),PerformanceYTD(%)
TVAC,21656000.0,0.0,0.0,6.91,0.0,0.0,0.0,0.0,0.0,0.0,1.45,433.13,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2156000.0,1725000.0,0.15,0.34,0.0,0.6,0.0,-3.09
DDMX,12767000.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,31.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1287000.0,0.0,0.0,0.53,0.0,-0.3,0.0,-3.12
ACEV,28443000.0,-2180000.0,0.0,6.41,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.1,0.1,0.0,-9.4,-11.0,0.0,0.0,0.0,0.0,0.0,2875000.0,1150000.0,4.87,1.68,0.0,-6.6,0.0,-3.13
HCAR,39911000.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,1.36,665.18,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4140000.0,2484000.0,0.29,1.25,0.0,-2.02,0.0,-3.2
FPAC,59700000.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,138.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0,0.0,0.0,3.2,0.0,-0.1,0.0,-3.21
IBEX,32273000.0,-500000.0,43570000.0,4.2,0.0,0.0,22500.0,0.0,12.9,0.74,4.31,5.16,1.4,1.4,1.46,-2.0,-8.3,14.1,0.0,1.6,-1.1,0.0,1808000.0,561000.0,1.01,2.23,26.4,-17.4,48.04,-3.26
DUNE,21088000.0,0.0,0.0,7.23,0.0,0.0,0.0,0.0,0.0,0.0,1.35,702.92,2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2156000.0,1294000.0,0.2,0.9,0.0,-1.31,0.0,-3.27
MEDS,4180000.0,-540000.0,1330000.0,0.71,0.0,0.0,43.0,0.0,19.43,3.14,7.2,9.29,7.4,7.6,0.03,-56.5,-64.5,-28.2,32.3,-40.3,-40.7,0.0,812000.0,331000.0,0.12,0.0,8.67,-14.69,-9.8,-3.4
AMTI,123000000.0,-8000000.0,0.0,5.46,0.0,0.0,100.0,0.0,0.0,0.0,5.44,6.14,25.3,25.3,0.0,-49.3,-53.1,0.0,0.0,0.0,0.0,0.0,3813000.0,2943000.0,10.48,14.24,0.0,-54.08,17.47,-3.41
IGAC,36569000.0,0.0,0.0,7.04,0.0,0.0,0.0,0.0,0.0,0.0,1.39,731.38,364.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3750000.0,2250000.0,0.26,0.85,0.0,-1.91,0.0,-3.55
IMPX,48651000.0,0.0,0.0,7.18,0.0,0.0,0.0,0.0,0.0,0.0,1.36,405.43,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,2750000.0,0.4,1.4,0.0,-2.6,0.0,-3.56
HIGA,44450000.0,0.0,0.0,7.24,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4549000.0,3640000.0,0.39,3.8,0.0,-2.69,0.0,-3.56
IVA,54005000.0,0.0,454000.0,0.0,0.0,0.0,95.0,0.0,0.0,118.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3863000.0,1021000.0,1.78,17.58,0.0,3.17,19.69,-3.59
SVOK,32036000.0,0.0,0.0,7.33,0.0,0.0,0.0,0.0,0.0,0.0,1.35,355.96,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3234000.0,1941000.0,0.72,0.73,0.0,0.1,0.0,-3.6
PMVC,21399000.0,40000.0,0.0,7.18,0.0,0.0,0.0,575.29,0.0,0.0,1.36,133.74,12.0,12.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,2188000.0,1312000.0,0.11,0.48,0.0,-4.49,0.0,-3.65
RCHG,24574000.0,0.0,0.0,7.25,0.0,0.0,0.0,0.0,0.0,0.0,1.35,245.74,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2505000.0,1503000.0,0.55,3.16,0.0,-4.76,0.0,-3.73
SCVX,28535000.0,-310000.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,570.71,0.3,0.3,0.0,-1.3,-1.5,0.0,0.0,0.0,0.0,0.0,2875000.0,1725000.0,0.18,0.68,0.0,-1.05,0.35,-3.74
TEKK,30371000.0,0.0,0.0,7.05,0.0,0.0,0.0,0.0,0.0,0.0,1.38,506.18,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3125000.0,2400000.0,0.07,0.46,0.0,-3.0,0.0,-3.77
GOAC,70433000.0,120000.0,0.0,7.3,0.0,0.0,0.0,362.96,0.0,0.0,1.34,704.33,2.4,2.4,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,7188000.0,4312000.0,0.29,2.52,0.0,-2.49,0.0,-3.83
KINZ,34204000.0,0.0,0.0,36.16,0.0,0.0,0.0,0.0,0.0,0.0,0.27,488.63,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690000.0,0.0,0.0,0.2,0.0,-0.7,0.0,-4.34
ETAC,74367000.0,220000.0,0.0,7.33,0.0,0.0,0.0,349.29,0.0,0.0,1.33,1062.39,3.7,3.7,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,7620000.0,6120000.0,0.29,1.4,0.0,-1.81,0.0,-4.4
VII,50466000.0,0.0,0.0,7.13,0.0,0.0,0.0,0.0,0.0,0.0,1.36,504.66,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2875000.0,2300000.0,0.2,7.54,0.0,-4.23,0.0,-4.42
CONX,91613000.0,0.0,0.0,7.29,0.0,0.0,0.0,0.0,0.0,0.0,1.34,1017.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9375000.0,7500000.0,0.31,1.91,0.0,-2.4,0.0,-4.5
FVAM,10379000.0,0.0,0.0,7.53,0.0,0.0,0.0,0.0,0.0,0.0,1.29,129.74,5.3,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1069000.0,656000.0,0.0,0.0,0.0,-8.92,0.0,-4.62
BTAQ,43876000.0,50000.0,0.0,7.2,0.0,0.0,0.0,283.43,0.0,0.0,1.38,626.8,1.9,1.9,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,4419000.0,2554000.0,1.15,2.58,0.0,-1.0,0.0,-4.71
VVOS,13017000.0,-1550000.0,1450000.0,1.76,0.0,0.0,93.0,0.0,0.0,8.98,3.2,3.81,4.2,4.2,0.04,-60.8,-101.9,-66.2,79.7,0.0,0.0,0.0,2074000.0,1784000.0,0.25,0.01,0.0,-17.21,0.0,-4.74
SNRH,50197000.0,0.0,0.0,7.23,0.0,0.0,0.0,0.0,0.0,0.0,1.34,717.11,2.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5175000.0,4140000.0,0.05,0.17,0.0,-1.92,0.0,-4.9
CCAC,34362000.0,-220000.0,0.0,7.03,0.0,0.0,0.0,0.0,0.0,0.0,1.42,3436.2,0.1,0.1,0.0,-0.8,-0.9,0.0,0.0,0.0,0.0,0.0,3450000.0,2070000.0,3.0,2.42,0.0,-4.69,1.94,-4.96
GFX,41739000.0,0.0,0.0,7.16,0.0,0.0,0.0,0.0,0.0,0.0,1.35,596.27,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4312000.0,2588000.0,0.15,0.49,0.0,-1.42,0.0,-5.0
AVAN,73054000.0,0.0,0.0,7.09,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,4.3,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500000.0,5990000.0,0.11,0.6,0.0,-2.5,0.0,-5.06
COOL,48429000.0,0.0,0.0,7.25,0.0,0.0,6.0,0.0,0.0,0.0,1.34,372.53,9.4,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,4000000.0,0.28,1.75,0.0,-2.81,0.0,-5.1
CBAH,42079000.0,0.0,0.0,8.89,0.0,0.0,0.0,0.0,0.0,0.0,1.12,1051.96,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4226000.0,4024000.0,0.05,0.05,0.0,0.4,0.0,-5.15
TINV,34944000.0,0.0,0.0,6.83,0.0,0.0,0.0,0.0,0.0,0.0,1.48,436.8,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3450000.0,2760000.0,0.23,1.35,0.0,-0.78,0.0,-5.15
SHC,723000000.0,900000.0,88090000.0,1.87,0.0,0.0,3000.0,530.0,24.8,8.21,13.89,46.31,2.5,2.7,3.58,0.3,4.7,7.1,55.3,18.8,1.0,0.0,27908000.0,27513000.0,0.73,2.8,32.44,-4.56,0.0,-5.36
NOAC,27858000.0,0.0,0.0,7.59,0.0,0.0,2.0,0.0,0.0,0.0,1.28,253.26,6.6,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2875000.0,2249000.0,0.09,0.56,0.0,-3.48,0.0,-5.37
MSP,412000000.0,4460000.0,56620000.0,10.87,0.0,0.0,1743.0,106.86,47.21,7.28,2.35,23.07,2.8,3.1,0.0,2.4,2.9,2.6,71.7,10.5,7.9,0.0,16147000.0,15179000.0,2.46,14.54,33.2,3.61,0.0,-5.41
JYAC,13042000.0,0.0,0.0,7.54,0.0,0.0,0.0,0.0,0.0,0.0,1.29,108.68,11.9,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345000.0,827000.0,0.0,0.06,0.0,-8.97,0.0,-5.44
HZON,63977000.0,0.0,0.0,7.35,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1279.54,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6562000.0,3938000.0,1.04,1.82,0.0,-10.95,0.0,-5.52
MOTV,50353000.0,0.0,0.0,7.32,0.0,0.0,0.0,0.0,0.0,0.0,1.33,503.53,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5175000.0,4140000.0,0.15,1.24,0.0,-2.21,0.0,-5.63
NARI,409000000.0,2500000.0,20820000.0,4.47,0.0,0.0,456.0,183.71,229.89,19.63,18.41,23.23,6.7,7.2,0.0,11.0,12.1,8.9,92.1,12.2,12.0,0.0,4967000.0,3874000.0,3.03,2.17,119.67,-17.15,15.64,-5.72
PRPB,106000000.0,-2220000.0,0.0,6.75,0.0,0.0,0.0,0.0,0.0,0.0,1.45,2658.25,0.7,0.7,0.0,-2.7,-3.0,0.0,0.0,0.0,0.0,0.0,10850000.0,5710000.0,0.91,2.17,0.0,-3.83,0.0,-5.77
CRHC,101000000.0,0.0,0.0,7.26,0.0,0.0,1.0,0.0,0.0,0.0,1.35,10132.22,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10350000.0,8280000.0,0.5,1.79,0.0,-2.97,0.0,-5.86
BOAC,74115000.0,0.0,0.0,6.95,0.0,0.0,0.0,0.0,0.0,0.0,1.41,435.97,11.8,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7594000.0,6075000.0,0.57,1.68,0.0,-3.55,0.0,-5.88
CTAQ,49628000.0,0.0,0.0,7.33,0.0,0.0,3.0,0.0,0.0,0.0,1.32,992.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5121000.0,3019000.0,0.03,0.14,0.0,-4.33,0.0,-5.91
LFTR,25185000.0,0.0,0.0,7.22,0.0,0.0,0.0,0.0,0.0,0.0,1.35,629.61,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2589000.0,1553000.0,0.6,1.64,0.0,-4.71,0.0,-6.09
VYGG,62954000.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,1.36,314.77,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7188000.0,3515000.0,0.2,0.4,0.0,-8.0,0.0,-6.14
REYN,589000000.0,40600000.0,334000000.0,7.84,0.92,3.26,5450.0,14.57,14.96,1.76,3.6,40.93,1.1,2.3,1.29,7.7,23.1,12.0,27.9,17.5,10.9,47.0,20970000.0,5420000.0,5.89,7.77,33.4,-1.78,-10.9,-6.16
MTAC,30814000.0,0.0,0.0,7.31,0.0,0.0,0.0,0.0,0.0,0.0,1.35,513.57,3.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3125000.0,1875000.0,0.1,0.18,0.0,-0.3,0.0,-6.18
SCOA,69939000.0,0.0,0.0,7.23,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1748.48,6.3,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7188000.0,5750000.0,2.31,13.17,0.0,-2.16,0.0,-6.44
APSG,99348000.0,200000.0,0.0,7.19,0.0,0.0,0.0,885.45,0.0,0.0,1.35,1655.8,0.2,0.2,0.01,0.3,0.4,0.0,0.0,0.0,0.0,0.0,10210000.0,7500000.0,0.15,0.78,0.0,-4.7,0.0,-6.44
XPOA,36525000.0,-1330000.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,1.37,913.12,0.7,0.7,0.0,-5.9,-6.8,0.0,0.0,0.0,0.0,0.0,3750000.0,2238000.0,0.46,0.6,0.0,-4.13,0.0,-6.44
LSAQ,10020000.0,-60000.0,0.0,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.99,250.5,4.1,4.1,0.0,-0.9,-0.9,0.0,0.0,0.0,0.0,0.0,1001000.0,864000.0,1.28,4.2,0.0,-5.85,0.0,-6.47
HTPA,29136000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,2988000.0,0.18,2.51,0.0,-3.46,0.0,-6.79
PIPP,26563000.0,0.0,0.0,7.21,0.0,0.0,0.0,0.0,0.0,0.0,1.35,2656.29,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2730000.0,1638000.0,2.19,3.83,0.0,-6.26,0.0,-6.8
CFIV,61668000.0,-190000.0,0.0,7.53,0.0,0.0,0.0,0.0,0.0,0.0,1.29,6166.82,0.6,0.6,0.0,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,6350000.0,5100000.0,0.32,3.85,0.0,-2.63,0.0,-6.9
DMYI,37497000.0,0.0,0.0,6.55,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3750000.0,2250000.0,1.2,0.69,0.0,-11.49,0.0,-7.31
FMAC,92346000.0,0.0,0.0,7.11,0.0,0.0,0.0,0.0,0.0,0.0,1.37,1846.92,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5172000.0,4140000.0,0.18,0.63,0.0,-6.06,0.0,-7.83
GHLD,88046000.0,42930000.0,204000000.0,14.14,0.0,0.0,4400.0,2.05,4.5,0.43,1.04,2.73,0.0,0.0,3.64,9.3,54.1,10.0,0.0,31.2,21.0,0.0,6000000.0,895000.0,0.07,0.34,18.8,0.65,0.0,-7.9
GSAH,93570000.0,-4420000.0,0.0,6.97,0.0,0.0,0.0,0.0,0.0,0.0,1.44,1169.62,0.0,0.0,0.0,-5.9,-6.6,0.0,0.0,0.0,0.0,0.0,9375000.0,7500000.0,0.36,0.2,0.0,-8.74,-3.0,-7.98
TREB,64048000.0,-1200000.0,0.0,8.77,0.0,0.0,0.0,0.0,0.0,0.0,1.13,6404.83,0.2,0.2,0.0,-2.3,-2.6,0.0,0.0,0.0,0.0,0.0,5175000.0,3881000.0,0.21,0.19,0.0,-3.03,-1.54,-8.16
LOKB,31618000.0,0.0,0.0,8.53,0.0,0.0,4.0,0.0,0.0,0.0,1.17,1580.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2530000.0,1898000.0,0.6,0.72,0.0,-0.89,0.0,-8.18
FLAC,17371000.0,0.0,0.0,7.27,0.0,0.0,0.0,0.0,0.0,0.0,1.36,217.14,10.3,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1775000.0,1430000.0,0.12,0.93,0.0,0.0,0.0,-8.19
SQFT,4280000.0,-660000.0,2170000.0,5.41,0.41,10.57,22.0,0.0,0.0,1.97,0.72,1.46,0.0,0.0,1.75,-3.8,-17.1,1.1,64.3,6.2,-30.2,0.0,951000.0,40000.0,5.43,0.09,5.67,7.48,0.0,-8.49
RPTX,119000000.0,-7670000.0,60000.0,6.62,0.0,0.0,117.0,0.0,0.0,1984.23,4.73,4.05,13.3,13.3,0.0,-22.1,-27.9,-18.5,0.0,0.0,0.0,0.0,3704000.0,3661000.0,2.66,7.25,46.71,16.21,15.61,-8.66
SPFR,43124000.0,0.0,0.0,7.07,0.0,0.0,2.0,0.0,0.0,0.0,1.41,4312.36,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4312000.0,2588000.0,2.0,2.34,13.0,-2.54,0.0,-8.69
CALT,76585000.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2497000.0,1527000.0,0.25,1.69,51.4,6.09,36.49,-8.77
IIII,33179000.0,0.0,0.0,6.73,0.0,0.0,0.0,0.0,0.0,0.0,1.45,3317.93,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3410000.0,1648000.0,0.05,0.23,0.0,-7.33,0.0,-8.81
SV,26358000.0,0.0,0.0,6.85,0.0,0.0,0.0,0.0,0.0,0.0,1.34,202.75,14.3,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2875000.0,2045000.0,4.38,3.52,0.0,-8.73,0.0,-9.09
GBIO,153000000.0,-10140000.0,0.0,7.7,0.0,0.0,100.0,0.0,0.0,0.0,3.33,3.6,31.1,31.1,0.0,-25.2,-28.0,0.0,0.0,0.0,0.0,0.0,5632000.0,5186000.0,12.93,20.43,39.8,-27.04,-14.28,-9.59
OM,235000000.0,-13460000.0,7910000.0,9.44,0.0,0.0,313.0,0.0,0.0,29.71,5.44,5.93,11.8,12.6,0.0,-31.4,-37.9,-33.2,-4.3,0.0,0.0,0.0,4568000.0,3285000.0,8.36,4.81,63.0,6.05,0.0,-9.62
RBAC,70442000.0,830000.0,0.0,7.29,0.0,0.0,0.0,60.12,0.0,0.0,1.34,541.86,0.8,0.8,0.0,1.4,1.6,0.0,0.0,0.0,0.0,0.0,7188000.0,4312000.0,1.31,3.16,0.0,-2.97,0.0,-10.01
U,3836000000.0,-48400000.0,92950000.0,7.03,0.0,0.0,4613.0,0.0,0.0,41.27,19.38,24.14,3.6,3.6,0.0,-18.3,-23.9,-13.6,76.7,-51.9,-52.1,0.0,28037000.0,21931000.0,4.74,3.25,130.23,38.97,0.0,-11.21
BLSA,18261000.0,0.0,0.0,7.56,0.0,0.0,0.0,0.0,0.0,0.0,1.3,228.27,4.3,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1846000.0,1486000.0,0.01,0.1,0.0,-18.96,0.0,-11.54
GAN,75808000.0,-1910000.0,8160000.0,6.02,0.0,0.0,242.0,0.0,0.0,9.29,2.98,14.55,0.0,2.4,0.0,0.0,0.0,-12.7,70.5,0.0,0.0,0.0,4193000.0,3643000.0,7.85,4.14,24.0,-29.46,-4.98,-11.59
RKT,3434000000.0,38290000.0,1687000000.0,4.6,0.0,0.0,20000.0,5.79,11.19,2.04,3.71,17.39,0.0,0.0,40.29,1.1,76.5,38.1,0.0,66.0,2.3,0.0,13647000.0,12630000.0,11.53,2.36,19.23,-33.07,-27.35,-11.72
FUSE,43798000.0,-870000.0,0.0,8.59,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.5,0.5,0.0,-2.5,-2.9,0.0,0.0,0.0,0.0,0.0,3500000.0,2625000.0,14.05,14.37,0.0,-6.47,1.73,-11.77
LESL,458000000.0,12410000.0,132000000.0,-1.41,0.0,0.0,3700.0,38.5,27.03,3.48,0.0,14.81,1.1,1.7,0.0,14.8,-26.6,39.8,43.6,15.3,9.4,0.0,18826000.0,18225000.0,13.82,12.1,32.64,4.24,0.0,-12.32
DGNS,28099000.0,0.0,0.0,7.54,0.0,0.0,0.0,0.0,0.0,0.0,1.32,140.49,0.8,0.8,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3525000.0,2145000.0,0.28,0.21,0.0,-9.05,0.0,-12.87
ALXO,305000000.0,-6000000.0,53000.0,10.06,0.0,0.0,29.0,0.0,0.0,5781.16,7.44,7.43,29.5,29.5,0.0,-15.5,-15.9,-10.4,0.0,0.0,0.0,0.0,4025000.0,2487000.0,9.87,8.51,97.29,1.74,74.04,-13.2
CLEU,4254000.0,120000.0,500000.0,1.84,0.0,0.0,80.0,17.82,0.0,8.51,1.82,8.51,10.9,11.1,0.0,0.0,0.0,9.8,57.1,0.0,0.0,0.0,1233000.0,890000.0,5.87,0.56,0.0,-8.72,-50.07,-13.21
HAAC,53411000.0,0.0,0.0,8.72,0.0,0.0,0.0,0.0,0.0,0.0,1.11,281.11,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5250000.0,4988000.0,0.45,0.81,0.0,-8.82,0.0,-13.6
HLXA,14514000.0,0.0,0.0,7.58,0.0,0.0,0.0,0.0,0.0,0.0,1.29,131.94,14.8,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1480000.0,862000.0,0.09,0.67,0.0,-12.5,0.0,-13.81
ITOS,105000000.0,-6650000.0,0.0,8.24,0.0,0.0,78.0,0.0,0.0,0.0,3.53,3.48,14.9,14.9,0.0,-19.8,-21.1,0.0,0.0,0.0,0.0,0.0,3512000.0,3496000.0,2.8,2.22,48.5,-23.53,12.87,-13.9
BNR,200000000.0,-10200000.0,7580000.0,3.23,0.0,0.0,938.0,0.0,0.0,26.42,6.15,6.85,6.9,7.3,0.02,-24.7,-27.8,-16.7,73.1,0.0,0.0,0.0,10409000.0,7562000.0,1.66,4.93,0.0,-39.96,1.53,-14.07
ADTX,3670000.0,-1430000.0,0.0,0.0,0.0,0.0,43.0,0.0,1.98,0.0,0.0,4.27,1.9,1.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2062000.0,1807000.0,3.3,0.19,0.0,-38.83,-24.58,-14.42
RNA,100000000.0,-7790000.0,920000.0,7.04,0.0,0.0,71.0,0.0,0.0,108.77,3.1,3.58,17.6,17.6,0.0,-24.2,-26.5,-14.5,0.0,0.0,0.0,0.0,3758000.0,2488000.0,25.28,19.48,0.0,-9.57,-23.97,-14.5
IPOF,144000000.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14375000.0,11500000.0,0.44,0.45,0.0,-10.69,0.0,-15.12
OSH,1233000000.0,-31300000.0,112000000.0,0.98,0.0,0.0,3200.0,0.0,0.0,11.05,52.8,11.43,3.4,3.4,0.0,-25.1,-91.6,-44.1,5.7,-27.7,-28.0,0.0,22117000.0,21416000.0,7.27,11.81,65.58,-2.84,12.16,-15.4
CVAC,1317000000.0,0.0,5180000.0,0.0,0.0,0.0,500.0,0.0,8.53,254.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.2,0.0,0.0,0.0,0.0,19219000.0,8226000.0,5.53,3.57,61.81,-19.22,7.96,-15.51
PLRX,69398000.0,-8120000.0,1320000.0,6.83,0.0,0.0,78.0,0.0,0.0,52.57,2.81,2.84,22.9,22.9,0.0,-28.5,-29.8,-14.7,0.0,0.0,0.0,0.0,3575000.0,3254000.0,5.76,19.0,0.0,-49.74,-17.73,-15.67
ADCT,222000000.0,-20040000.0,380000.0,3.88,0.0,0.0,208.0,0.0,0.0,584.68,6.95,5.8,9.5,9.5,0.16,-52.7,-81.7,0.0,96.8,0.0,0.0,0.0,7672000.0,3732000.0,15.36,20.08,44.5,4.53,-26.96,-15.71
API,382000000.0,-3920000.0,14670000.0,8.05,0.0,0.0,842.0,0.0,0.0,26.02,4.11,4.62,9.3,9.3,0.0,-4.6,-5.1,-0.9,60.4,-31.8,-26.7,0.0,11036000.0,4168000.0,18.99,6.47,42.11,-44.5,-37.3,-16.38
AGC,67311000.0,0.0,0.0,7.21,0.0,0.0,0.0,0.0,0.0,0.0,1.49,2243.7,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,4112000.0,39.56,38.27,0.0,-9.76,0.0,-16.64
INZY,40242000.0,-6280000.0,0.0,5.89,0.0,0.0,38.0,0.0,0.0,0.0,2.92,2.93,20.2,20.2,0.0,-38.3,-41.0,0.0,0.0,0.0,0.0,0.0,2349000.0,2157000.0,1.78,6.29,0.0,-14.61,-37.79,-16.72
PYPD,15500000.0,-3320000.0,0.0,3.03,0.0,0.0,57.0,0.0,0.0,0.0,2.71,3.24,11.4,11.4,0.0,-46.0,-48.2,0.0,0.0,0.0,0.0,0.0,1875000.0,1618000.0,0.2,1.19,0.0,-21.13,-26.63,-17.07
FDMT,92322000.0,0.0,1361000.0,9.0,0.0,0.0,104.0,0.0,0.0,67.82,3.79,3.79,25.2,25.2,0.0,0.0,0.0,-22.1,0.0,0.0,0.0,0.0,2674000.0,2076000.0,4.91,7.83,50.0,-30.55,0.0,-17.66
RLAY,333000000.0,-41420000.0,8450000.0,6.73,0.0,0.0,203.0,0.0,0.0,39.44,5.03,4.96,26.8,26.8,0.0,-54.5,-58.6,-7.3,0.0,0.0,0.0,0.0,9194000.0,8889000.0,11.74,20.42,54.33,-6.73,-4.25,-18.6
TIG,53825000.0,8900000.0,16590000.0,8.16,0.0,0.0,334.0,5.92,10.98,3.24,1.31,5.31,0.0,0.0,0.07,6.5,21.7,17.6,0.0,52.0,53.6,0.0,5115000.0,1236000.0,2.89,1.97,17.67,-36.91,-21.11,-18.7
QELL,43067000.0,0.0,0.0,6.96,0.0,0.0,0.0,0.0,0.0,0.0,1.44,1435.56,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4744000.0,2414000.0,14.6,9.01,0.0,-3.85,0.0,-18.71
TSHA,87380000.0,-10630000.0,0.0,4.98,0.0,0.0,38.0,0.0,0.0,0.0,4.33,4.43,7.3,7.3,0.0,-41.6,-45.8,0.0,0.0,0.0,0.0,0.0,3748000.0,2232000.0,12.29,15.82,0.0,-18.91,0.0,-18.73
CCV,112000000.0,0.0,0.0,6.93,0.0,0.0,0.0,0.0,0.0,0.0,1.42,5595.73,3.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6250000.0,4507000.0,1.32,2.79,0.0,-3.53,0.0,-19.36
