Date,Open,High,Low,Close,Adj Close,Volume
2020-09-21,22.240000,23.080000,20.860001,21.910000,21.554043,2956400
2020-09-28,22.110001,23.920000,22.070000,23.820000,23.433012,1834500
2020-10-05,24.000000,27.110001,23.450001,25.879999,25.628077,2304800
2020-10-12,25.879999,26.450001,24.500000,25.980000,25.727104,1188600
2020-10-19,26.330000,30.750000,25.750000,29.139999,28.856342,2166100
2020-10-26,29.469999,29.750000,27.150000,29.299999,29.014784,1947800
2020-11-02,29.830000,31.139999,28.520000,29.410000,29.123714,2231000
2020-11-09,31.889999,35.830002,31.620001,33.509998,33.183804,2504500
2020-11-16,34.950001,35.490002,32.930000,33.910000,33.579906,1568300
2020-11-23,34.549999,36.500000,34.099998,35.279999,34.936573,1464700
2020-11-30,35.090000,36.470001,33.860001,36.259998,35.907036,2073200
2020-12-07,36.279999,37.950001,35.139999,37.619999,37.253796,1858300
2020-12-14,38.099998,39.529999,37.630001,37.799999,37.432041,3075000
2020-12-21,38.000000,38.599998,35.919998,37.480000,37.115162,1018300
2020-12-28,37.650002,38.400002,37.040001,38.070000,37.699413,1186200
2021-01-04,38.619999,43.459999,37.279999,42.750000,42.504330,3011800
2021-01-11,42.040001,45.180000,41.849998,44.099998,43.846569,2317700
2021-01-18,44.270000,45.180000,42.180000,44.320000,44.065308,1488400
2021-01-25,43.540001,44.410000,36.599998,39.110001,38.885246,2530800
2021-02-01,39.869999,44.730000,39.160000,44.000000,43.747147,1740300
2021-02-08,44.380001,46.980000,43.700001,45.930000,45.666058,1749400
2021-02-15,46.639999,47.610001,45.950001,47.529999,47.256859,879100
2021-02-22,47.119999,50.910000,47.029999,47.639999,47.366230,1745300
2021-03-01,48.849998,52.180000,48.299999,50.349998,50.060654,2579100
2021-03-08,51.630001,55.959999,49.660000,55.470001,55.151234,2245000
2021-03-15,55.849998,57.810001,53.820000,55.980000,55.658302,3651300
2021-03-22,55.869999,55.869999,50.799999,54.939999,54.624275,2643600
2021-03-29,53.970001,55.349998,52.119999,53.240002,52.934048,1837700
2021-04-05,53.830002,54.299999,49.980000,52.099998,51.948460,2008700
2021-04-12,52.439999,53.220001,48.910000,51.310001,51.160759,1903300
2021-04-19,51.139999,52.000000,47.439999,50.810001,50.662212,2052700
2021-04-26,51.869999,55.020000,51.130001,54.090000,53.932671,2107600
2021-05-03,54.889999,57.220001,53.130001,57.020000,56.854149,1888700
2021-05-10,57.040001,57.810001,53.349998,56.939999,56.774380,2559800
2021-05-17,56.750000,59.599998,54.459999,58.520000,58.349785,2592600
2021-05-24,59.509998,59.849998,52.419998,54.939999,54.780197,2416000
2021-05-31,55.570000,56.720001,55.290001,56.470001,56.305752,1367100
2021-06-07,56.389999,57.919998,53.650002,54.270000,54.112148,1535400
2021-06-14,54.380001,56.360001,49.959999,50.029999,49.884480,2915800
2021-06-21,50.500000,53.549999,50.380001,53.020000,52.865784,2444000
2021-06-28,52.630001,52.630001,50.130001,50.389999,50.243431,1398800
2021-07-05,49.980000,50.230000,46.380001,49.840000,49.840000,1914600
2021-07-12,49.099998,49.889999,47.020000,47.160000,47.160000,1611200
2021-07-19,45.630001,47.980000,44.919998,45.970001,45.970001,1998100
2021-07-26,46.380001,49.910000,46.119999,48.610001,48.610001,2411100
2021-08-02,48.700001,50.580002,47.200001,50.160000,50.160000,1766600
2021-08-09,49.950001,51.459999,48.459999,50.430000,50.430000,2812700
2021-08-16,49.900002,50.490002,47.130001,48.320000,48.320000,1327900
2021-08-23,48.779999,50.160000,48.369999,50.070000,50.070000,1080100
2021-08-30,50.000000,50.209999,47.750000,48.029999,48.029999,1285700
2021-09-06,48.360001,48.380001,46.160000,46.540001,46.540001,1434200
2021-09-13,46.790001,48.150002,46.459999,47.830002,47.830002,3761100
2021-09-20,null,null,null,null,null,null
2021-09-20,45.799999,46.509998,45.090000,45.810001,45.810001,82251
