IPO,MarketCap,Income,Sales,Booksh,Dividend,Dividend_Percentage,Employees,PriceToEarnings,ForwardPTE,PriceToSales,PriceToBook,PutCallRatio,QuickRatio,CurrentRatio,DebtEquity,ROA,ROE,ROI,GrossMargin,OperationalMargin,ProfitMargin,Payout,SHSOutstanding,ShsFloat,ShoartFloat,ShortRatio,TargetPrice,PerformaceHalfYear,PerformanceYear,PerformanceYTD
[['max'], '1.28B', '-23.30M', '672.70M', '-0.55', '-', '-', '117', '6.30', '57.32', '1.90', '-', '85.43', '1.80', '1.80', '-', '-11.30%', '40.10%', '14.00%', '14.70%', '0.20%', '-3.50%', '0.00%', '37.67M', '17.53M', '5.62%', '4.60', '-', '-60.66%', '-', '-43.67%']
[['acic'], '623.80M', '-', '-', '7.27', '-', '-', '-', '-', '-', '-', '1.38', '2079.33', '0.10', '0.10', '0.00', '-', '-', '-', '-', '-', '-', '-', '62.50M', '49.95M', '18.49%', '10.48', '-', '-8.51%', '-', '-0.60%']
[['gato'], '980.21M', '6.80M', '-', '4.70', '-', '-', '620', '-', '14.57', '-', '3.17', '33.12', '-', '9.80', '0.00', '0.60%', '0.60%', '-', '-', '-', '-', '-', '59.75M', '34.14M', '7.59%', '3.07', '19.00', '3.40%', '-', '14.27%']
[['fhtx'], '488.73M', '-85.20M', '1.00M', '2.83', '-', '-', '95', '-', '-', '488.73', '4.69', '3.46', '8.80', '8.80', '0.19', '-40.80%', '-140.70%', '-41.40%', '-', '-', '-', '-', '36.85M', '29.78M', '3.28%', '8.25', '-', '4.32%', '-', '-34.53%']
[['mcfe'], '11.69B', '-134.00M', '2.41B', '-56.92', '0.46', '1.70%', '6916', '-', '24.58', '4.84', '-', '27.84', '0.40', '0.40', '-', '-1.50%', '1.30%', '-4.60%', '71.10%', '8.90%', '-3.40%', '-', '165.00M', '53.42M', '5.05%', '2.60', '29.43', '32.19%', '-', '89.61%']
[['ctac'], '332.73M', '-', '-', '6.96', '-', '-', '-', '-', '-', '-', '1.43', '475.33', '0.20', '0.20', '0.00', '-', '-', '-', '-', '-', '-', '-', '33.22M', '19.59M', '0.71%', '1.02', '-', '-2.16%', '-', '-2.25%']
[['tekk'], '303.71M', '-', '-', '7.05', '-', '-', '-', '-', '-', '-', '1.38', '506.18', '0.60', '0.60', '0.00', '-', '-', '-', '-', '-', '-', '-', '31.25M', '24.00M', '0.07%', '0.46', '-', '-3.00%', '-', '-3.77%']
[['blsa'], '182.61M', '-', '-', '7.56', '-', '-', '-', '-', '-', '-', '1.30', '228.27', '4.30', '4.30', '0.00', '-', '-', '-', '-', '-', '-', '-', '18.46M', '14.86M', '0.01%', '0.10', '-', '-18.96%', '-', '-11.54%']
[['abcm'], '4.75B', '-', '269.30M', '2.87', '-', '-', '1600', '-', '-', '17.63', '7.30', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '226.78M', '187.47M', '0.03%', '0.39', '-', '0.62%', '-', '-2.83%']
[['ghld'], '880.46M', '429.30M', '2.04B', '14.14', '-', '-', '4400', '2.05', '4.50', '0.43', '1.04', '2.73', '-', '-', '3.64', '9.30%', '54.10%', '10.00%', '-', '31.20%', '21.00%', '0.00%', '60.00M', '8.95M', '0.07%', '0.34', '18.80', '0.65%', '-', '-7.90%']
[['rice'], '499.28M', '-', '-', '2.96', '-', '-', '-', '-', '22.41', '-', '5.84', '-', '0.10', '0.10', '0.00', '-', '-', '-', '-', '-', '-', '-', '29.66M', '23.73M', '6.09%', '13.06', '26.00', '70.61%', '-', '59.74%']
[['lftr'], '251.85M', '-', '-', '7.22', '-', '-', '-', '-', '-', '-', '1.35', '629.61', '0.40', '0.40', '0.00', '-', '-', '-', '-', '-', '-', '-', '25.89M', '15.53M', '0.60%', '1.64', '-', '-4.71%', '-', '-6.09%']
[['ygmz'], '55.52M', '0.80M', '18.80M', '2.07', '-', '-', '147', '44.49', '-', '2.95', '1.68', '26.44', '2.40', '2.40', '0.38', '3.30%', '6.20%', '3.60%', '14.80%', '7.50%', '4.20%', '0.00%', '10.26M', '7.04M', '2.41%', '0.52', '-', '-52.98%', '-', '-65.85%']
[['xpoa'], '365.25M', '-13.30M', '-', '7.10', '-', '-', '-', '-', '-', '-', '1.37', '913.12', '0.70', '0.70', '0.00', '-5.90%', '-6.80%', '-', '-', '-', '-', '-', '37.50M', '22.38M', '0.46%', '0.60', '-', '-4.13%', '-', '-6.44%']
[['higa'], '444.50M', '-', '-', '7.24', '-', '-', '-', '-', '-', '-', '1.35', '-', '0.50', '0.50', '0.00', '-', '-', '-', '-', '-', '-', '-', '45.49M', '36.40M', '0.39%', '3.80', '-', '-2.69%', '-', '-3.56%']
[['msp'], '4.12B', '44.60M', '566.20M', '10.87', '-', '-', '1743', '106.86', '47.21', '7.28', '2.35', '23.07', '2.80', '3.10', '0.00', '2.40%', '2.90%', '2.60%', '71.70%', '10.50%', '7.90%', '0.00%', '161.47M', '151.79M', '2.46%', '14.54', '33.20', '3.61%', '-', '-5.41%']
[['hzon'], '639.77M', '-', '-', '7.35', '-', '-', '-', '-', '-', '-', '1.33', '1279.54', '0.40', '0.40', '0.00', '-', '-', '-', '-', '-', '-', '-', '65.62M', '39.38M', '1.04%', '1.82', '-', '-10.95%', '-', '-5.52%']
[['hlxa'], '145.14M', '-', '-', '7.58', '-', '-', '-', '-', '-', '-', '1.29', '131.94', '14.80', '14.80', '0.00', '-', '-', '-', '-', '-', '-', '-', '14.80M', '8.62M', '0.09%', '0.67', '-', '-12.50%', '-', '-13.81%']
[['algs'], '721.81M', '-125.20M', '2.50M', '4.47', '-', '-', '86', '-', '-', '288.72', '3.79', '3.79', '6.50', '6.50', '0.00', '-62.30%', '-111.90%', '-', '-', '-', '-', '-', '37.74M', '32.89M', '5.67%', '7.06', '-', '-31.72%', '-', '-38.81%']
[['btwn'], '731.76M', '-30.90M', '-', '7.01', '-', '-', '-', '-', '-', '-', '1.43', '609.80', '0.40', '0.40', '0.00', '-6.90%', '-8.30%', '-', '-', '-', '-', '-', '74.37M', '59.50M', '1.27%', '1.33', '-', '-18.14%', '-', '-35.27%']
[['opt'], '348.22M', '-', '0.23M', '-', '-', '-', '-', '-', '-', '1525.56', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '42.21M', '22.66M', '0.60%', '1.18', '-', '-13.70%', '129.17%', '-26.44%']
[['ear'], '871.02M', '-44.70M', '85.50M', '4.53', '-', '-', '238', '-', '-', '10.19', '4.95', '4.86', '8.10', '8.20', '0.00', '-23.50%', '-46.60%', '-17.50%', '71.00%', '-60.40%', '-52.30%', '-', '38.81M', '36.16M', '7.73%', '5.60', '-', '-56.32%', '-', '-49.98%']
[['tars'], '518.61M', '-5.00M', '55.40M', '9.36', '-', '-', '20', '-', '-', '9.36', '2.73', '2.93', '19.20', '19.20', '0.00', '-3.00%', '-3.80%', '-', '96.30%', '-', '-9.10%', '-', '20.55M', '14.70M', '2.12%', '5.67', '-', '-21.06%', '-', '-38.16%']
[['prax'], '988.13M', '-110.60M', '-', '8.03', '-', '-', '67', '-', '-', '-', '2.81', '2.91', '22.10', '22.10', '0.00', '-41.90%', '-57.90%', '-', '-', '-', '-', '-', '41.57M', '31.20M', '4.13%', '4.35', '-', '-43.85%', '-', '-59.00%']
[['krbp'], '25.66M', '-', '-', '-', '-', '-', '19', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '7.35M', '3.02M', '1.50%', '0.16', '-', '-67.80%', '-', '-58.80%']
[['tmts'], '251.50M', '-', '-', '6.78', '-', '-', '2', '-', '-', '-', '1.48', '2515.00', '0.30', '0.30', '0.00', '-', '-', '-', '-', '-', '-', '-', '25.00M', '14.44M', '0.33%', '0.54', '-', '1.00%', '-', '0.00%']
[['arry'], '2.49B', '-20.70M', '768.80M', '-0.54', '-', '-', '387', '-', '30.25', '3.23', '-', '140.47', '1.10', '2.00', '-', '-2.30%', '-35.90%', '20.10%', '17.30%', '1.50%', '-1.80%', '-', '126.99M', '125.60M', '5.41%', '1.97', '24.45', '-43.71%', '-', '-54.29%']
[['mnso'], '4.47B', '-219.20M', '1.41B', '3.39', '0.16', '1.14%', '-', '-', '18.19', '3.18', '4.13', '4.20', '2.20', '2.60', '0.12', '-15.20%', '-32.20%', '2.50%', '26.80%', '4.40%', '-15.60%', '-', '303.98M', '30.84M', '7.41%', '3.24', '-', '-43.11%', '-', '-46.99%']
[['ebc'], '3.59B', '66.90M', '412.10M', '19.93', '0.32', '1.70%', '407', '46.89', '16.98', '8.70', '0.95', '51.89', '-', '-', '0.00', '0.40%', '2.20%', '11.30%', '-', '99.70%', '16.20%', '34.80%', '172.17M', '170.28M', '1.70%', '4.25', '24.25', '2.33%', '-', '15.57%']
[['cdak'], '402.46M', '-89.40M', '16.70M', '2.34', '-', '-', '105', '-', '-', '24.10', '7.34', '-', '5.70', '5.70', '0.49', '-56.90%', '266.90%', '-229.60%', '-', '-', '-', '-', '22.12M', '14.09M', '6.26%', '8.18', '-', '5.14%', '-', '-46.84%']
[['fvam'], '103.79M', '-', '-', '7.53', '-', '-', '-', '-', '-', '-', '1.29', '129.74', '5.30', '5.30', '0.00', '-', '-', '-', '-', '-', '-', '-', '10.69M', '6.56M', '0.00%', '0.00', '-', '-8.92%', '-', '-4.62%']
[['ipod'], '574.41M', '-', '-', '7.01', '-', '-', '4', '-', '-', '-', '1.45', '-', '0.50', '0.50', '0.00', '-', '-', '-', '-', '-', '-', '-', '57.50M', '46.00M', '0.61%', '0.93', '-', '-17.36%', '-', '-25.57%']
[['sprb'], '187.53M', '-39.60M', '-', '5.58', '-', '-', '21', '-', '-', '-', '1.43', '1.72', '16.00', '16.00', '0.04', '-29.40%', '-42.90%', '-', '-', '-', '-', '-', '23.33M', '4.77M', '11.13%', '8.64', '-', '-63.38%', '-', '-67.17%']
[['kron'], '1.25B', '-128.00M', '-', '7.78', '-', '-', '90', '-', '-', '-', '2.80', '2.99', '32.40', '32.40', '0.00', '-29.50%', '-40.70%', '-', '-', '-', '-', '-', '54.51M', '46.72M', '9.43%', '15.92', '-', '-24.90%', '-', '-27.08%']
[['ipof'], '1.44B', '-', '-', '7.14', '-', '-', '-', '-', '-', '-', '1.46', '-', '0.30', '0.30', '0.00', '-', '-', '-', '-', '-', '-', '-', '143.75M', '115.00M', '0.44%', '0.45', '-', '-10.69%', '-', '-15.12%']
[['intz'], '80.19M', '-10.00M', '6.70M', '0.69', '-', '-', '63', '-', '-', '11.97', '6.48', '6.12', '5.50', '5.50', '0.05', '-84.30%', '-134.40%', '-40.00%', '61.20%', '-', '-', '-', '17.54M', '8.92M', '11.65%', '0.61', '4.88', '-78.40%', '-61.89%', '-74.63%']
[['ih'], '399.86M', '-5.70M', '105.40M', '1.92', '-', '-', '817', '-', '180.00', '3.79', '3.66', '3.07', '2.40', '2.40', '0.00', '-5.10%', '-12.10%', '-7.00%', '69.80%', '-5.60%', '-5.40%', '-', '53.33M', '7.46M', '1.19%', '2.00', '-', '-52.41%', '-', '-61.26%']
[['sttk'], '915.49M', '-59.30M', '1.80M', '6.61', '-', '-', '59', '-', '-', '508.61', '3.24', '3.00', '20.90', '20.90', '0.00', '-20.50%', '-28.70%', '-11.90%', '-', '-', '-', '-', '41.91M', '32.39M', '4.65%', '8.29', '-', '-40.95%', '-', '-59.17%']
[['fubo'], '4.16B', '-607.10M', '416.90M', '4.39', '-', '-', '220', '-', '-', '9.97', '6.74', '10.22', '-', '2.00', '0.51', '-60.80%', '-166.60%', '-197.80%', '-', '-', '-', '-', '140.53M', '127.21M', '18.54%', '2.82', '43.86', '2.32%', '216.03%', '5.64%']
[['azyo'], '87.26M', '-23.00M', '49.30M', '1.46', '-', '-', '175', '-', '-', '1.77', '5.88', '3.08', '1.60', '2.00', '1.61', '-33.80%', '406.80%', '-31.00%', '47.70%', '-24.00%', '-46.80%', '-', '10.23M', '3.34M', '3.99%', '6.03', '-', '-41.27%', '-', '-37.05%']
[['sqft'], '42.80M', '-6.60M', '21.70M', '5.41', '0.41', '10.57%', '22', '-', '-', '1.97', '0.72', '1.46', '-', '-', '1.75', '-3.80%', '-17.10%', '1.10%', '64.30%', '6.20%', '-30.20%', '-', '9.51M', '0.40M', '5.43%', '0.09', '5.67', '7.48%', '-', '-8.49%']
[['tpgy'], '471.62M', '-67.10M', '-', '5.78', '-', '-', '3', '-', '-', '-', '1.89', '2358.08', '0.00', '0.00', '0.01', '-25.50%', '-72.50%', '-', '-', '-', '-', '-', '43.75M', '35.00M', '6.17%', '5.66', '-', '-38.48%', '-', '-57.67%']
[['maac'], '511.36M', '-', '-', '6.65', '-', '-', '-', '-', '-', '-', '1.50', '426.13', '0.10', '0.10', '0.00', '-', '-', '-', '-', '-', '-', '-', '51.34M', '30.80M', '1.32%', '1.94', '-', '1.01%', '-', '-1.97%']
[['fmac'], '923.46M', '-', '-', '7.11', '-', '-', '-', '-', '-', '-', '1.37', '1846.92', '0.90', '0.90', '0.00', '-', '-', '-', '-', '-', '-', '-', '51.72M', '41.40M', '0.18%', '0.63', '-', '-6.06%', '-', '-7.83%']
