IPO,MarketCap,Income,Sales,Booksh,Dividend,Dividend_Percentage,Employees,PriceToEarnings,ForwardPTE,PriceToSales,PriceToBook,PutCallRatio,QuickRatio,CurrentRatio,DebtEquity,ROA,ROE,ROI,GrossMargin,OperationalMargin,ProfitMargin,Payout,SHSOutstanding,ShsFloat,ShoartFloat,ShortRatio,TargetPrice,PerformaceHalfYear,PerformanceYear,PerformanceYTD
[['pmvp'], '1.37B', '-43.70M', '-', '7.50', '-', '-', '44', '-', '-', '-', '3.85', '4.30', '43.10', '43.10', '0.00', '-12.10%', '-12.40%', '-', '-', '-', '-', '-', '45.07M', '39.90M', '7.20%', '7.54', '-', '-17.57%', '-', '-53.08%']
[['glsi'], '584.64M', '-2.80M', '-', '2.26', '-', '-', '1', '-', '-', '-', '19.82', '19.62', '45.70', '45.70', '0.00', '-11.60%', '-12.10%', '-', '-', '-', '-', '-', '12.90M', '3.15M', '5.83%', '2.18', '75.00', '37.04%', '-', '22.84%']
[['viao'], '211.82M', '-4.20M', '199.70M', '0.80', '-', '-', '620', '-', '5.91', '1.06', '11.44', '2.20', '1.80', '2.10', '0.41', '-', '-', '-2.00%', '14.10%', '1.00%', '-0.30%', '-', '114.58M', '111.86M', '0.00%', '0.21', '-', '-28.52%', '-', '-32.02%']
[['syta'], '17.90M', '-', '11.96M', '-', '-', '-', '-', '-', '-', '1.50', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '4.58M', '3.08M', '1.79%', '0.34', '-', '-63.83%', '-64.05%', '-63.70%']
[['gray'], '96.63M', '-34.70M', '-', '4.02', '-', '-', '31', '-', '-', '-', '1.01', '1.13', '14.10', '14.10', '0.00', '-44.30%', '-90.30%', '-', '-', '-', '-', '-', '21.02M', '19.08M', '6.07%', '0.58', '4.75', '-43.61%', '-', '-86.01%']
[['tsha'], '873.80M', '-106.30M', '-', '4.98', '-', '-', '38', '-', '-', '-', '4.33', '4.43', '7.30', '7.30', '0.00', '-41.60%', '-45.80%', '-', '-', '-', '-', '-', '37.48M', '22.32M', '12.29%', '15.82', '-', '-18.91%', '-', '-18.73%']
[['crsr'], '2.74B', '153.90M', '2.02B', '5.71', '-', '-', '2411', '18.40', '15.21', '1.36', '5.08', '20.35', '0.90', '1.50', '0.00', '11.70%', '33.40%', '18.40%', '28.40%', '10.40%', '7.60%', '0.00%', '92.79M', '90.26M', '9.67%', '2.58', '39.67', '-13.60%', '-', '-19.85%']
[['lsf'], '180.48M', '-14.50M', '26.00M', '8.45', '-', '-', '145', '-', '-', '6.94', '2.27', '2.99', '18.60', '20.80', '0.00', '-21.30%', '-23.80%', '-16.20%', '26.20%', '-49.70%', '-55.80%', '-', '8.88M', '6.21M', '12.42%', '11.42', '-', '-48.07%', '-', '-59.43%']
[['gdrx'], '15.70B', '-315.60M', '631.10M', '2.02', '-', '-', '450', '-', '80.10', '24.87', '20.62', '17.54', '16.40', '16.40', '0.81', '-20.60%', '-41.50%', '-19.30%', '93.90%', '-58.10%', '-50.00%', '-', '408.36M', '69.06M', '27.65%', '11.04', '41.71', '-1.68%', '-', '3.25%']
[['bsy'], '19.20B', '159.50M', '867.50M', '1.55', '0.12', '0.17%', '4104', '135.81', '87.00', '22.13', '44.51', '146.30', '0.70', '0.70', '2.69', '10.10%', '54.30%', '19.00%', '77.40%', '17.00%', '18.40%', '11.20%', '304.07M', '204.75M', '3.40%', '4.44', '69.57', '59.07%', '-', '70.30%']
[['vih'], '262.24M', '-', '-', '6.39', '-', '-', '-', '-', '-', '-', '1.72', '291.38', '0.30', '0.30', '0.00', '-', '-', '-', '-', '-', '-', '-', '25.92M', '15.55M', '45.19%', '8.45', '-', '-20.86%', '-', '9.13%']
[['pmvc'], '213.99M', '0.40M', '-', '7.18', '-', '-', '-', '575.29', '-', '-', '1.36', '133.74', '12.00', '12.00', '0.00', '0.20%', '0.20%', '-', '-', '-', '-', '0.00%', '21.88M', '13.12M', '0.11%', '0.48', '-', '-4.49%', '-', '-3.65%']
[['atha'], '420.31M', '-39.00M', '-', '9.42', '-', '-', '20', '-', '-', '-', '1.17', '1.48', '38.10', '38.10', '0.00', '-12.20%', '-12.50%', '-', '-', '-', '-', '-', '37.22M', '35.52M', '3.48%', '0.98', '-', '-45.60%', '-', '-67.88%']
[['vtru'], '386.25M', '-', '541.28M', '8.38', '-', '-', '6174', '-', '2.98', '0.71', '2.00', '3.27', '1.90', '1.90', '0.44', '-', '-', '5.60%', '-', '-', '-', '-', '23.06M', '21.61M', '0.03%', '0.67', '-', '17.96%', '-', '13.56%']
[['u'], '38.36B', '-484.00M', '929.50M', '7.03', '-', '-', '4613', '-', '-', '41.27', '19.38', '24.14', '3.60', '3.60', '0.00', '-18.30%', '-23.90%', '-13.60%', '76.70%', '-51.90%', '-52.10%', '-', '280.37M', '219.31M', '4.74%', '3.25', '130.23', '38.97%', '-', '-11.21%']
[['cmps'], '1.43B', '-65.70M', '-', '8.22', '-', '-', '61', '-', '-', '-', '4.18', '4.51', '42.80', '42.80', '0.00', '-27.90%', '-28.70%', '-', '-', '-', '-', '-', '39.80M', '6.70M', '9.39%', '1.55', '-', '-22.42%', '-', '-27.94%']
[['sumo'], '2.36B', '-83.60M', '209.70M', '4.08', '-', '-', '759', '-', '-', '11.25', '5.41', '8.12', '2.50', '2.50', '0.00', '-17.20%', '-31.90%', '-18.40%', '72.60%', '-38.50%', '-39.90%', '-', '104.03M', '103.75M', '5.51%', '4.43', '25.63', '-18.26%', '-', '-22.78%']
[['dyn'], '838.94M', '-97.50M', '-', '8.84', '-', '-', '71', '-', '-', '-', '1.84', '1.93', '31.70', '31.70', '0.00', '-23.00%', '-23.80%', '-', '-', '-', '-', '-', '51.22M', '49.76M', '4.46%', '8.86', '-', '4.16%', '-', '-22.43%']
[['bnl'], '4.40B', '68.10M', '330.50M', '17.48', '1.02', '3.70%', '71', '56.65', '41.61', '13.30', '1.58', '55.65', '-', '-', '0.58', '1.60%', '2.90%', '3.10%', '85.80%', '40.50%', '20.60%', '182.60%', '146.12M', '144.35M', '4.53%', '3.03', '26.29', '54.83%', '-', '40.91%']
[['ptve'], '2.36B', '-129.00M', '4.89B', '5.76', '0.40', '3.13%', '14600', '-', '7.68', '0.48', '2.22', '6.73', '1.20', '2.20', '3.85', '-1.80%', '-13.50%', '4.60%', '12.90%', '0.10%', '-2.70%', '-', '177.40M', '42.62M', '2.80%', '7.56', '16.00', '-14.33%', '-', '-29.49%']
[['amwl'], '2.57B', '-190.40M', '240.80M', '4.70', '-', '-', '812', '-', '-', '10.67', '2.28', '2.64', '11.20', '11.30', '0.00', '-14.10%', '-15.70%', '-18.60%', '38.00%', '-79.00%', '-79.10%', '-', '249.37M', '135.30M', '11.80%', '5.31', '16.56', '-54.45%', '-', '-57.76%']
[['stwo'], '310.64M', '-', '-', '7.14', '-', '-', '2', '-', '-', '-', '1.39', '-', '0.50', '0.50', '0.00', '-', '-', '-', '-', '-', '-', '-', '31.25M', '25.00M', '1.08%', '3.17', '-', '-0.20%', '-', '-1.29%']
[['snow'], '91.61B', '-760.80M', '851.20M', '16.68', '-', '-', '2017', '-', '-', '107.62', '18.73', '22.15', '5.10', '5.10', '0.00', '-12.90%', '-15.30%', '-11.10%', '58.50%', '-91.10%', '-89.40%', '-', '297.72M', '281.04M', '4.22%', '2.82', '318.11', '35.85%', '-', '11.05%']
[['step'], '4.59B', '104.30M', '1.16B', '3.22', '0.28', '0.58%', '586', '43.70', '37.55', '3.94', '14.93', '20.99', '-', '-', '0.00', '8.80%', '50.90%', '-', '63.70%', '-', '9.00%', '6.40%', '94.82M', '39.90M', '1.68%', '2.00', '46.25', '55.01%', '-', '20.78%']
[['mtcr'], '81.09M', '-50.20M', '-', '2.40', '-', '-', '35', '-', '-', '-', '1.25', '1.08', '10.60', '10.60', '0.00', '-51.30%', '-61.40%', '-', '-', '-', '-', '-', '26.37M', '20.88M', '1.18%', '1.56', '-', '-67.14%', '-', '-61.96%']
[['frog'], '3.73B', '-30.00M', '175.30M', '6.00', '-', '-', '700', '-', '-', '21.27', '6.48', '6.06', '5.00', '5.00', '0.00', '-4.30%', '-5.40%', '-2.10%', '81.30%', '-21.80%', '-17.10%', '-', '93.67M', '64.32M', '10.29%', '6.95', '53.33', '-17.57%', '-', '-38.10%']
[['om'], '2.35B', '-134.60M', '79.10M', '9.44', '-', '-', '313', '-', '-', '29.71', '5.44', '5.93', '11.80', '12.60', '0.00', '-31.40%', '-37.90%', '-33.20%', '-4.30%', '-', '-', '-', '45.68M', '32.85M', '8.36%', '4.81', '63.00', '6.05%', '-', '-9.62%']
[['lspd'], '21.04B', '-192.70M', '378.30M', '19.87', '-', '-', '1800', '-', '-', '55.61', '5.99', '27.76', '4.90', '4.90', '0.03', '-9.10%', '-10.20%', '-6.20%', '53.60%', '-52.90%', '-50.90%', '-', '131.59M', '128.08M', '2.06%', '3.00', '-', '99.95%', '265.29%', '68.99%']
[['leap'], '585.13M', '-', '-', '6.96', '-', '-', '2', '-', '-', '-', '1.44', '585.13', '15.50', '15.50', '0.00', '-', '-', '-', '-', '-', '-', '-', '45.73M', '24.00M', '0.09%', '0.32', '16.63', '-16.33%', '-', '-22.71%']
[['crhc'], '1.01B', '-', '-', '7.26', '-', '-', '1', '-', '-', '-', '1.35', '10132.22', '0.30', '0.30', '0.00', '-', '-', '-', '-', '-', '-', '-', '103.50M', '82.80M', '0.50%', '1.79', '-', '-2.97%', '-', '-5.86%']
[['prfx'], '31.04M', '-', '-', '2.25', '-', '-', '1', '-', '-', '-', '1.27', '1.60', '28.80', '28.80', '0.00', '-', '-', '-', '-', '-', '-', '-', '9.05M', '8.16M', '6.03%', '0.31', '-', '-46.93%', '-56.15%', '-36.24%']
[['auvi'], '63.01M', '-6.20M', '7.00M', '1.52', '-', '-', '37', '-', '-', '9.00', '4.41', '9.00', '2.50', '2.60', '0.03', '-41.70%', '-54.80%', '-33.10%', '26.80%', '-84.00%', '-89.00%', '-', '9.41M', '4.17M', '0.98%', '0.11', '-', '-22.34%', '17.72%', '46.19%']
[['hcdi'], '43.28M', '-3.00M', '60.10M', '2.18', '-', '-', '40', '-', '-', '0.72', '1.33', '3.38', '-', '-', '1.33', '-4.80%', '-14.60%', '-10.00%', '8.20%', '-3.40%', '-4.90%', '-', '14.89M', '11.43M', '9.52%', '3.40', '-', '-6.01%', '-48.76%', '-33.60%']
[['gp'], '280.80M', '-', '8.15M', '-', '-', '-', '-', '-', '-', '34.46', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '20.89M', '14.06M', '5.31%', '4.64', '-', '-44.23%', '-1.39%', '-53.83%']
[['xpev'], '36.68B', '-742.60M', '1.79B', '6.29', '-', '-', '5084', '-', '-', '20.49', '6.64', '8.03', '3.60', '3.90', '0.05', '-11.60%', '-15.90%', '-11.80%', '10.50%', '-45.10%', '-41.50%', '-', '796.19M', '378.15M', '3.46%', '0.97', '-', '39.37%', '119.50%', '-2.47%']
[['btaq'], '438.76M', '0.50M', '-', '7.20', '-', '-', '-', '283.43', '-', '-', '1.38', '626.80', '1.90', '1.90', '0.00', '0.10%', '0.20%', '-', '-', '-', '-', '0.00%', '44.19M', '25.54M', '1.15%', '2.58', '-', '-1.00%', '-', '-4.71%']
[['nnox'], '1.16B', '-56.30M', '-', '4.55', '-', '-', '40', '-', '-', '-', '5.33', '7.59', '28.90', '28.90', '0.00', '-23.70%', '-24.70%', '-', '-', '-', '-', '-', '47.76M', '36.87M', '13.07%', '4.51', '42.25', '-39.69%', '-33.38%', '-46.89%']
[['hzac'], '680.05M', '-', '-', '7.40', '-', '-', '-', '-', '43.92', '-', '1.35', '850.07', '0.90', '0.90', '0.00', '-', '-', '-', '-', '-', '-', '-', '68.00M', '25.20M', '0.23%', '0.27', '-', '-1.38%', '-', '-0.50%']
[['fst'], '314.62M', '-39.20M', '-', '5.71', '-', '-', '-', '-', '-', '-', '2.19', '786.55', '0.30', '0.30', '0.00', '-19.50%', '-24.20%', '-', '-', '-', '-', '-', '25.00M', '15.00M', '9.86%', '13.35', '-', '9.96%', '-', '21.87%']
[['kymr'], '3.26B', '-58.40M', '64.50M', '5.72', '-', '-', '112', '-', '-', '50.58', '11.06', '9.09', '3.40', '3.40', '0.01', '-12.30%', '-21.00%', '-16.20%', '-', '-91.10%', '-90.50%', '-', '45.09M', '28.30M', '7.07%', '4.20', '76.29', '16.04%', '114.01%', '2.00%']
[['hrmy'], '2.09B', '17.20M', '235.40M', '2.22', '-', '-', '150', '129.90', '14.32', '8.86', '17.03', '13.07', '5.50', '5.60', '1.55', '4.80%', '16.10%', '-1.90%', '82.60%', '23.80%', '7.30%', '0.00%', '56.94M', '46.12M', '2.35%', '3.92', '51.33', '11.83%', '-8.67%', '4.56%']
[['inbx'], '1.20B', '-78.10M', '10.50M', '1.17', '-', '-', '91', '-', '-', '114.40', '27.85', '9.56', '6.10', '6.10', '0.00', '-56.50%', '-114.90%', '-64.40%', '-', '-', '-', '-', '37.82M', '22.74M', '4.48%', '4.97', '40.50', '38.46%', '82.11%', '-1.18%']
[['cvac'], '13.17B', '-', '51.80M', '-', '-', '-', '500', '-', '8.53', '254.15', '-', '-', '-', '-', '-', '-', '-', '-14.20%', '-', '-', '-', '-', '192.19M', '82.26M', '5.53%', '3.57', '61.81', '-19.22%', '7.96%', '-15.51%']
[['dct'], '6.33B', '-32.90M', '247.80M', '5.59', '-', '-', '1405', '-', '797.70', '25.53', '8.70', '17.38', '5.50', '5.50', '0.00', '-', '-', '-4.10%', '55.60%', '-', '-', '-', '130.98M', '95.47M', '3.90%', '7.88', '51.20', '7.49%', '32.88%', '12.38%']
[['beke'], '28.33B', '417.00M', '13.65B', '9.16', '-', '-', '119658', '54.59', '28.91', '2.08', '2.40', '3.78', '2.50', '2.50', '0.01', '2.60%', '4.20%', '1.80%', '22.70%', '3.80%', '3.10%', '0.00%', '1.17B', '877.30M', '1.88%', '1.47', '-', '-59.07%', '-51.58%', '-64.25%']
[['ntst'], '1.04B', '0.30M', '46.80M', '17.98', '0.80', '3.04%', '19', '1095.00', '86.16', '22.15', '1.46', '11.76', '-', '-', '0.00', '0.00%', '0.10%', '-0.90%', '91.20%', '-11.30%', '0.60%', '-', '38.02M', '33.04M', '3.38%', '2.92', '27.61', '48.73%', '43.06%', '34.84%']
[['rbac'], '704.42M', '8.30M', '-', '7.29', '-', '-', '-', '60.12', '-', '-', '1.34', '541.86', '0.80', '0.80', '0.00', '1.40%', '1.60%', '-', '-', '-', '-', '0.00%', '71.88M', '43.12M', '1.31%', '3.16', '-', '-2.97%', '-', '-10.01%']
[['kbnt'], '49.34M', '-11.50M', '2.60M', '2.27', '-', '-', '13', '-', '-', '18.98', '1.52', '1.62', '16.50', '16.50', '0.01', '-43.40%', '-47.80%', '-18.20%', '14.40%', '-', '-', '-', '13.98M', '10.18M', '2.87%', '2.13', '-', '-48.89%', '-15.44%', '-38.17%']
[['ibex'], '322.73M', '-5.00M', '435.70M', '4.20', '-', '-', '22500', '-', '12.90', '0.74', '4.31', '5.16', '1.40', '1.40', '1.46', '-2.00%', '-8.30%', '14.10%', '-', '1.60%', '-1.10%', '-', '18.08M', '5.61M', '1.01%', '2.23', '26.40', '-17.40%', '48.04%', '-3.26%']
[['frln'], '150.52M', '-', '-', '5.20', '-', '-', '236', '-', '-', '-', '0.78', '0.91', '12.20', '12.20', '1.00', '-', '-', '-', '-', '-', '-', '-', '35.68M', '34.70M', '0.27%', '0.22', '-', '-72.28%', '-75.06%', '-77.93%']
[['cmpi'], '126.25M', '-55.40M', '-', '4.39', '-', '-', '25', '-', '-', '-', '1.31', '1.48', '13.60', '13.60', '0.00', '-44.50%', '-47.40%', '-', '-', '-', '-', '-', '21.62M', '19.27M', '0.68%', '2.38', '-', '-60.80%', '-53.13%', '-60.45%']
[['afib'], '426.97M', '-118.60M', '14.00M', '2.69', '-', '-', '291', '-', '-', '30.50', '4.64', '5.27', '4.90', '5.70', '0.59', '-67.00%', '-104.20%', '-52.20%', '-74.30%', '-', '-', '-', '28.15M', '15.52M', '12.71%', '5.79', '20.67', '-25.99%', '-62.84%', '-56.72%']
[['rkt'], '34.34B', '382.90M', '16.87B', '4.60', '-', '-', '20000', '5.79', '11.19', '2.04', '3.71', '17.39', '-', '-', '40.29', '1.10%', '76.50%', '38.10%', '-', '66.00%', '2.30%', '0.00%', '136.47M', '126.30M', '11.53%', '2.36', '19.23', '-33.07%', '-27.35%', '-11.72%']
[['osh'], '12.33B', '-313.00M', '1.12B', '0.98', '-', '-', '3200', '-', '-', '11.05', '52.80', '11.43', '3.40', '3.40', '0.00', '-25.10%', '-91.60%', '-44.10%', '5.70%', '-27.70%', '-28.00%', '-', '221.17M', '214.16M', '7.27%', '11.81', '65.58', '-2.84%', '12.16%', '-15.40%']
[['rxt'], '2.95B', '-265.60M', '2.87B', '6.65', '-', '-', '7200', '-', '13.26', '1.03', '2.15', '13.74', '1.10', '1.10', '2.82', '-4.10%', '-19.20%', '0.30%', '33.60%', '-3.50%', '-9.30%', '-', '207.90M', '205.92M', '4.83%', '9.05', '20.89', '-30.38%', '-27.18%', '-25.08%']
[['goac'], '704.33M', '1.20M', '-', '7.30', '-', '-', '-', '362.96', '-', '-', '1.34', '704.33', '2.40', '2.40', '0.00', '0.20%', '0.20%', '-', '-', '-', '-', '0.00%', '71.88M', '43.12M', '0.29%', '2.52', '-', '-2.49%', '-', '-3.83%']
[['bigc'], '4.47B', '-43.10M', '178.60M', '2.99', '-', '-', '813', '-', '-', '25.01', '20.89', '21.97', '5.70', '5.70', '0.00', '-16.50%', '-21.50%', '-17.90%', '78.60%', '-25.00%', '-24.10%', '-', '70.62M', '58.91M', '13.22%', '6.46', '74.64', '4.57%', '-41.61%', '-2.62%']
[['yac'], '428.26M', '-1.20M', '-', '7.08', '-', '-', '30', '-', '-', '-', '1.39', '856.52', '0.20', '0.20', '0.00', '-0.30%', '-0.40%', '-', '-', '-', '-', '-', '43.12M', '25.88M', '0.03%', '0.07', '-', '-1.40%', '-', '-2.28%']
[['hsaq'], '201.38M', '-0.40M', '-', '7.64', '-', '-', '-', '-', '-', '-', '1.28', '105.99', '10.30', '10.30', '0.00', '-0.20%', '-0.20%', '-', '-', '-', '-', '-', '20.45M', '15.97M', '0.00%', '0.00', '-', '-14.35%', '-12.59%', '-23.58%']
[['vsta'], '463.19M', '-16.60M', '175.00M', '10.99', '-', '-', '1960', '-', '2.44', '2.65', '0.51', '5.77', '1.30', '1.80', '0.14', '-1.30%', '-1.80%', '0.90%', '62.10%', '-7.30%', '-9.50%', '-', '83.07M', '18.57M', '3.88%', '9.91', '-', '-55.14%', '-63.75%', '-61.45%']
[['goed'], '328.71M', '-16.30M', '107.90M', '5.43', '-', '-', '102', '-', '3.44', '3.05', '0.58', '7.27', '0.90', '1.20', '0.29', '-14.70%', '-39.10%', '172.00%', '17.40%', '-18.90%', '-15.10%', '-', '105.02M', '101.99M', '7.61%', '0.81', '-', '-71.67%', '-55.98%', '-62.83%']
[['vitl'], '712.98M', '8.30M', '226.20M', '3.82', '-', '-', '215', '91.40', '326.92', '3.15', '4.45', '19.11', '4.80', '5.30', '0.00', '4.70%', '5.70%', '6.60%', '35.00%', '2.80%', '3.70%', '0.00%', '40.00M', '27.32M', '15.10%', '13.14', '25.50', '-37.45%', '-54.02%', '-32.83%']
[['etac'], '743.67M', '2.20M', '-', '7.33', '-', '-', '-', '349.29', '-', '-', '1.33', '1062.39', '3.70', '3.70', '0.00', '0.40%', '0.40%', '-', '-', '-', '-', '0.00%', '76.20M', '61.20M', '0.29%', '1.40', '-', '-1.81%', '-', '-4.40%']
[['fthm'], '430.51M', '-6.90M', '243.10M', '3.67', '-', '-', '38', '-', '-', '1.77', '7.83', '33.63', '1.30', '1.30', '0.20', '-14.80%', '-19.90%', '-4.20%', '6.10%', '-4.00%', '-2.90%', '-', '14.05M', '4.52M', '19.17%', '19.83', '-', '-7.32%', '71.67%', '-20.31%']
[['prpb'], '1.06B', '-22.20M', '-', '6.75', '-', '-', '-', '-', '-', '-', '1.45', '2658.25', '0.70', '0.70', '0.00', '-2.70%', '-3.00%', '-', '-', '-', '-', '-', '108.50M', '57.10M', '0.91%', '2.17', '-', '-3.83%', '-', '-5.77%']
[['li'], '32.08B', '-125.20M', '2.37B', '5.03', '-', '-', '4181', '-', '83.76', '13.56', '6.16', '5.95', '5.00', '5.20', '0.25', '-2.20%', '-3.00%', '-2.10%', '18.30%', '-7.90%', '-5.30%', '-', '905.05M', '216.28M', '14.56%', '2.47', '-', '34.27%', '84.14%', '7.49%']
[['alvr'], '1.34B', '-117.30M', '-', '4.85', '-', '-', '53', '-', '-', '-', '4.27', '4.27', '15.30', '15.30', '0.00', '-32.50%', '-34.50%', '-', '-', '-', '-', '-', '62.34M', '31.64M', '13.19%', '17.99', '-', '-33.49%', '-16.39%', '-46.12%']
[['verx'], '2.92B', '-17.70M', '397.30M', '1.54', '-', '-', '1200', '-', '78.45', '7.34', '12.79', '28.71', '0.70', '0.70', '0.00', '-3.20%', '-7.90%', '-33.50%', '60.10%', '-11.80%', '-4.50%', '-', '147.53M', '39.03M', '3.20%', '7.27', '26.00', '-37.03%', '-17.96%', '-43.50%']
[['acev'], '284.43M', '-21.80M', '-', '6.41', '-', '-', '-', '-', '-', '-', '1.54', '-', '0.10', '0.10', '0.00', '-9.40%', '-11.00%', '-', '-', '-', '-', '-', '28.75M', '11.50M', '4.87%', '1.68', '-', '-6.60%', '-', '-3.13%']
[['nrix'], '1.49B', '-89.10M', '22.90M', '9.09', '-', '-', '135', '-', '-', '64.86', '3.88', '3.85', '8.50', '8.50', '0.00', '-20.70%', '-28.10%', '-15.30%', '-', '-', '-', '-', '43.80M', '43.30M', '8.05%', '8.05', '49.17', '-9.87%', '39.36%', '7.15%']
[['itos'], '1.05B', '-66.50M', '-', '8.24', '-', '-', '78', '-', '-', '-', '3.53', '3.48', '14.90', '14.90', '0.00', '-19.80%', '-21.10%', '-', '-', '-', '-', '-', '35.12M', '34.96M', '2.80%', '2.22', '48.50', '-23.53%', '12.87%', '-13.90%']
[['inzy'], '402.42M', '-62.80M', '-', '5.89', '-', '-', '38', '-', '-', '-', '2.92', '2.93', '20.20', '20.20', '0.00', '-38.30%', '-41.00%', '-', '-', '-', '-', '-', '23.49M', '21.57M', '1.78%', '6.29', '-', '-14.61%', '-37.79%', '-16.72%']
[['annx'], '678.59M', '-102.50M', '-', '7.72', '-', '-', '17', '-', '-', '-', '2.29', '2.24', '29.60', '29.60', '0.00', '-29.40%', '-30.90%', '-', '-', '-', '-', '-', '38.28M', '36.19M', '3.94%', '9.46', '-', '-45.22%', '-29.49%', '-29.32%']
[['meg'], '1.37B', '-102.10M', '463.50M', '5.34', '-', '-', '2000', '-', '622.26', '2.95', '9.79', '34.03', '1.60', '1.60', '1.76', '-16.30%', '-75.20%', '-8.10%', '32.50%', '-4.60%', '-22.00%', '-', '26.06M', '23.17M', '3.64%', '6.35', '58.83', '27.46%', '80.62%', '68.83%']
[['edtk'], '19.90M', '3.50M', '29.20M', '3.78', '-', '-', '50', '4.25', '-', '0.68', '0.41', '-', '1.90', '1.90', '0.01', '6.60%', '9.90%', '6.70%', '49.60%', '22.60%', '12.00%', '0.00%', '12.06M', '7.05M', '4.18%', '0.96', '-', '-53.31%', '-57.65%', '-49.51%']
[['jamf'], '4.23B', '-35.10M', '313.80M', '6.82', '-', '-', '1496', '-', '150.41', '13.47', '5.32', '18.66', '1.40', '1.40', '0.00', '-3.20%', '-4.30%', '-1.40%', '78.10%', '-12.00%', '-11.20%', '-', '117.91M', '116.96M', '3.47%', '6.63', '44.20', '2.03%', '-1.12%', '21.16%']
[['psth'], '3.94B', '-451.00M', '-', '17.10', '-', '-', '4', '-', '-', '-', '1.15', '157.60', '1.40', '1.40', '0.00', '-11.20%', '-13.30%', '-', '-', '-', '-', '-', '200.00M', '200.00M', '0.27%', '0.17', '-', '-25.95%', '-', '-28.75%']
[['rnlx'], '948.29M', '-', '1.02M', '2.41', '-', '-', '17', '-', '-', '930.61', '10.17', '12.73', '21.20', '21.20', '0.01', '-', '-', '-', '-', '-', '-', '-', '36.02M', '5.91M', '6.55%', '4.26', '38.00', '-15.48%', '71.46%', '53.19%']
[['bli'], '2.52B', '-54.50M', '77.80M', '3.47', '-', '-', '230', '-', '-', '32.40', '10.76', '11.72', '8.80', '9.30', '0.08', '-18.20%', '-22.50%', '-15.30%', '67.80%', '-68.20%', '-70.00%', '-', '66.79M', '55.24M', '7.44%', '4.62', '-', '-29.94%', '-40.14%', '-58.23%']
[['alxo'], '3.05B', '-60.00M', '0.53M', '10.06', '-', '-', '29', '-', '-', '5781.16', '7.44', '7.43', '29.50', '29.50', '0.00', '-15.50%', '-15.90%', '-10.40%', '-', '-', '-', '-', '40.25M', '24.87M', '9.87%', '8.51', '97.29', '1.74%', '74.04%', '-13.20%']
[['tig'], '538.25M', '89.00M', '165.90M', '8.16', '-', '-', '334', '5.92', '10.98', '3.24', '1.31', '5.31', '-', '-', '0.07', '6.50%', '21.70%', '17.60%', '-', '52.00%', '53.60%', '0.00%', '51.15M', '12.36M', '2.89%', '1.97', '17.67', '-36.91%', '-21.11%', '-18.70%']
[['rlay'], '3.33B', '-414.20M', '84.50M', '6.73', '-', '-', '203', '-', '-', '39.44', '5.03', '4.96', '26.80', '26.80', '0.00', '-54.50%', '-58.60%', '-7.30%', '-', '-', '-', '-', '91.94M', '88.89M', '11.74%', '20.42', '54.33', '-6.73%', '-4.25%', '-18.60%']
[['goco'], '1.56B', '-32.90M', '1.01B', '1.47', '-', '-', '3067', '-', '6.19', '1.55', '3.48', '13.84', '2.60', '2.60', '0.89', '-1.60%', '-8.00%', '-8.30%', '79.60%', '-8.50%', '-3.30%', '-', '320.81M', '73.29M', '7.29%', '1.89', '-', '-51.00%', '-61.76%', '-62.52%']
[['deh'], '429.94M', '-33.60M', '-', '6.51', '-', '-', '-', '-', '-', '-', '1.53', '2149.69', '0.10', '0.10', '0.00', '-9.70%', '-11.00%', '-', '-', '-', '-', '-', '43.12M', '34.50M', '3.26%', '2.79', '-', '-0.99%', '2.36%', '-1.77%']
[['mlac'], '178.12M', '-7.30M', '-', '8.88', '-', '-', '-', '-', '-', '-', '1.11', '890.59', '0.00', '0.00', '0.00', '-5.10%', '-5.60%', '-', '-', '-', '-', '-', '14.38M', '14.38M', '0.27%', '0.91', '-', '-0.60%', '-', '-0.20%']
[['ncno'], '6.97B', '-49.80M', '239.70M', '4.50', '-', '-', '1115', '-', '-', '29.07', '16.70', '178.22', '3.30', '3.30', '0.04', '-7.30%', '-9.50%', '-9.80%', '58.50%', '-17.80%', '-16.90%', '-', '94.40M', '92.74M', '4.46%', '6.17', '85.63', '6.84%', '-5.20%', '3.77%']
[['ptk'], '130.01M', '-3.30M', '-', '7.19', '-', '-', '-', '-', '-', '-', '1.38', '1300.12', '0.00', '0.00', '0.00', '-3.90%', '-4.20%', '-', '-', '-', '-', '-', '14.38M', '9.92M', '0.37%', '1.87', '-', '-0.25%', '-', '-1.82%']
[['iva'], '540.05M', '-', '4.54M', '-', '-', '-', '95', '-', '-', '118.85', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '38.63M', '10.21M', '1.78%', '17.58', '-', '3.17%', '19.69%', '-3.59%']
[['qh'], '145.07M', '-', '2.58B', '1.75', '-', '-', '708', '-', '8.98', '0.06', '1.67', '3.89', '1.30', '1.30', '0.29', '-', '-', '-7.30%', '-', '-', '-', '-', '43.63M', '39.80M', '0.04%', '0.20', '-', '-50.51%', '-57.31%', '-61.27%']
