0,1,2,3,4,5,6
"a class=""mw-redirect"" href=""/wiki/First_Midwest_Bancorp,_Inc."" title=""First Midwest Bancorp, Inc.""First Midwest Bancorp, Inc./a
",FMBI,"Financials
","Regional Banks
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=FMBI&amp;action=getcompany"" rel=""nofollow""view/a
","0000702325
",S&P600
"Fabrinet
",FN,"Information Technology
","Electronic Manufacturing Services
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=FN&amp;action=getcompany"" rel=""nofollow""view/a
","0001408710
",S&P600
"a href=""/wiki/Ferro_Corporation"" title=""Ferro Corporation"" Ferro Corp. /a
",FOE,"Materials
","Specialty Chemicals
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=FOE&amp;action=getcompany"" rel=""nofollow""view/a
","0000035214
",S&P600
"FormFactor, Inc.
",FORM,"Information Technology
","Semiconductor Equipment
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=FORM&amp;action=getcompany"" rel=""nofollow""view/a
","0001039399
",S&P600
"a href=""/wiki/Forrester_Research"" title=""Forrester Research""Forrester Research, Inc./a
",FORR,"Industrials
","Research &amp; Consulting Services
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=FORR&amp;action=getcompany"" rel=""nofollow""view/a
","0001023313
",S&P600
"a href=""/wiki/Fossil_Group"" title=""Fossil Group""Fossil Group, Inc./a
",FOSL,"Consumer Discretionary
","Apparel, Accessories &amp; Luxury Goods
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=FOSL&amp;action=getcompany"" rel=""nofollow""view/a
","0000883569
",S&P600
"a href=""/wiki/Fiesta_Restaurant_Group"" title=""Fiesta Restaurant Group"" Fiesta Restaurant Group, Inc./a
",FRGI,"Consumer Discretionary
","Restaurants
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=FRGI&amp;action=getcompany"" rel=""nofollow""view/a
","0001534992
",S&P600
"Franklin Street Properties Corp.
",FSP,"Real Estate
","Office REITs
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=FSP&amp;action=getcompany"" rel=""nofollow""view/a
","0001031316
",S&P600
"a href=""/wiki/Federal_Signal_Corporation"" title=""Federal Signal Corporation""Federal Signal Corporation/a
",FSS,"Industrials
","Construction Machinery &amp; Heavy Trucks
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=FSS&amp;action=getcompany"" rel=""nofollow""view/a
","0000277509
",S&P600
"a class=""mw-redirect"" href=""/wiki/H.B._Fuller_Company"" title=""H.B. Fuller Company""H.B. Fuller Company/a
",FUL,"Materials
","Specialty Chemicals
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=FUL&amp;action=getcompany"" rel=""nofollow""view/a
","0000039368
",S&P600
"Forward Air Corp.
",FWRD,"Industrials
","Air Freight &amp; Logistics
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=FWRD&amp;action=getcompany"" rel=""nofollow""view/a
","0000912728
",S&P600
"a href=""/wiki/The_Greenbrier_Companies"" title=""The Greenbrier Companies"" The Greenbrier Companies, Inc./a
",GBX,"Industrials
","Construction Machinery &amp; Heavy Trucks
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=GBX&amp;action=getcompany"" rel=""nofollow""view/a
","0000923120
",S&P600
"a href=""/wiki/Gannett"" title=""Gannett"" Gannett Co., Inc./a
",GCI,"Consumer Discretionary
","Publishing
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=GCI&amp;action=getcompany"" rel=""nofollow""view/a
","0001579684
",S&P600
"a href=""/wiki/Genesco"" title=""Genesco"" Genesco, Inc./a
",GCO,"Consumer Discretionary
","Apparel Retail
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=GCO&amp;action=getcompany"" rel=""nofollow""view/a
","0000018498
",S&P600
"a href=""/wiki/GCP_Applied_Technologies"" title=""GCP Applied Technologies"" GCP Applied Technologies, Inc./a
",GCP,"Materials
","Diversified Chemicals
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=GCP&amp;action=getcompany"" rel=""nofollow""view/a
","0001644440
",S&P600
"a href=""/wiki/Green_Dot_Corporation"" title=""Green Dot Corporation""Green Dot Corporation/a
",GDOT,"Financials
","Consumer Finance
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=GDOT&amp;action=getcompany"" rel=""nofollow""view/a
","0001386278
",S&P600
"a href=""/wiki/GEO_Group"" title=""GEO Group"" GEO Group, Inc./a
",GE,Real Estate,Specialized REITs,"a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=GEO&amp;action=getcompany"" rel=""nofollow""view/a
","0000923796
",S&P600
"a href=""/wiki/Guess_(clothing)"" title=""Guess (clothing)""Guess, Inc./a
",GES,"Consumer Discretionary
","Apparel Retail
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=GES&amp;action=getcompany"" rel=""nofollow""view/a
","0000912463
",S&P600
"a href=""/wiki/Griffon_Corporation"" title=""Griffon Corporation""Griffon Corporation/a
",GFF,"Industrials
","Building Products
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=GFF&amp;action=getcompany"" rel=""nofollow""view/a
","0000050725
",S&P600
"a href=""/wiki/Greenhill_%26_Co."" title=""Greenhill &amp; Co.""Greenhill &amp; Co., Inc./a
",GHL,"Financials
","Investment Banking &amp; Brokerage
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=GHL&amp;action=getcompany"" rel=""nofollow""view/a
","0001282977
",S&P600
"a href=""/wiki/G-III_Apparel_Group"" title=""G-III Apparel Group""G-III Apparel Group, Ltd./a
",GIII,"Consumer Discretionary
","Apparel, Accessories &amp; Luxury Goods
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=GIII&amp;action=getcompany"" rel=""nofollow""view/a
","0000821002
",S&P600
"Glaukos Corp.
",GKOS,"Health Care
","Health Care Equipment
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=GKOS&amp;action=getcompany"" rel=""nofollow""view/a
","0001192448
",S&P600
"a href=""/wiki/Glatfelter"" title=""Glatfelter""Glatfelter Corp./a
",GLT,"Materials
","Paper Products
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=GLT&amp;action=getcompany"" rel=""nofollow""view/a
","0000041719
",S&P600
"GMS, Inc.
",GMS,"Industrials
","Building Products
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=GMS&amp;action=getcompany"" rel=""nofollow""view/a
","0001600438
",S&P600
"Global Net Lease, Inc.
",GNL,"Real Estate
","Diversified REITs
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=GNL&amp;action=getcompany"" rel=""nofollow""view/a
","0001526113
",S&P600
"a href=""/wiki/Genworth_Financial"" title=""Genworth Financial"" Genworth Financial, Inc./a
",GNW,"Financials
","Multi-line Insurance
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=GNW&amp;action=getcompany"" rel=""nofollow""view/a
","0001276520
",S&P600
"a class=""mw-redirect"" href=""/wiki/Group_1_Automotive_Inc."" title=""Group 1 Automotive Inc.""Group 1 Automotive, Inc./a
",GPI,"Consumer Discretionary
","Automotive Retail
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=GPI&amp;action=getcompany"" rel=""nofollow""view/a
","0001031203
",S&P600
"Granite Point Mortgage Trust, Inc.
",GPMT,"Financials
","Mortgage REITs
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=GPMT&amp;action=getcompany"" rel=""nofollow""view/a
","0001703644
",S&P600
"a href=""/wiki/Green_Plains_Inc."" title=""Green Plains Inc."" Green Plains, Inc./a
",GPRE,"Energy
","Oil &amp; Gas Refining &amp; Marketing
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=GPRE&amp;action=getcompany"" rel=""nofollow""view/a
","0001309402
",S&P600
"Chart Industries, Inc.
",GTLS,"Industrials
","Industrial Machinery
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=GTLS&amp;action=getcompany"" rel=""nofollow""view/a
","0000892553
",S&P600
"Getty Realty Corp.
",GTY,"Real Estate
","Retail REITs
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=GTY&amp;action=getcompany"" rel=""nofollow""view/a
","0001052752
",S&P600
"a href=""/wiki/Granite_Construction"" title=""Granite Construction"" Granite Construction, Inc./a
",GVA,"Industrials
","Construction &amp; Engineering
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=GVA&amp;action=getcompany"" rel=""nofollow""view/a
","0000861459
",S&P600
"a href=""/wiki/Great_Western_Bank_(1907%E2%80%93present)"" title=""Great Western Bank (1907–present)"" Great Western Bancorp, Inc./a
",GWB,"Financials
","Regional Banks
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=GWB&amp;action=getcompany"" rel=""nofollow""view/a
","0001613665
",S&P600
"a class=""mw-redirect"" href=""/wiki/Hawaiian_Holdings_Inc."" title=""Hawaiian Holdings Inc.""Hawaiian Holdings, Inc./a
",HA,"Industrials
","Airlines
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HA&amp;action=getcompany"" rel=""nofollow""view/a
","0001172222
",S&P600
"a href=""/wiki/Hanmi_Bank"" title=""Hanmi Bank""Hanmi Financial Corporation/a
",HAFC,"Financials
","Regional Banks
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HAFC&amp;action=getcompany"" rel=""nofollow""view/a
","0001109242
",S&P600
"a href=""/wiki/Haynes_International"" title=""Haynes International""Haynes International, Inc./a
",HAYN,"Materials
","Steel
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HAYN&amp;action=getcompany"" rel=""nofollow""view/a
","0000858655
",S&P600
"Warrior Met Coal, Inc.
",HCC,"Materials
","Diversified Metals &amp; Mining
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HCC&amp;action=getcompany"" rel=""nofollow""view/a
","0001691303
",S&P600
"HCI Group, Inc.
",HCI,"Financials
","Property &amp; Casualty Insurance
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HCI&amp;action=getcompany"" rel=""nofollow""view/a
","0001400810
",S&P600
"Heritage Financial Corporation
",HFWA,"Health Care
","Regional Banks
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HFWA&amp;action=getcompany"" rel=""nofollow""view/a
","0001046025
",S&P600
"Hillenbrand, Inc.
",HI,"Industrials
","Industrial Machinery
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HI&amp;action=getcompany"" rel=""nofollow""view/a
","0001417398
",S&P600
"a href=""/wiki/Hibbett_Sports"" title=""Hibbett Sports"" Hibbett Sports, Inc./a
",HIBB,"Consumer Discretionary
","Specialty Stores
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HIBB&amp;action=getcompany"" rel=""nofollow""view/a
","0001017480
",S&P600
"a href=""/wiki/Harmonic_Inc."" title=""Harmonic Inc.""Harmonic Inc./a
",HLIT,"Information Technology
","Communications Equipment
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HLIT&amp;action=getcompany"" rel=""nofollow""view/a
","0000851310
",S&P600
"a href=""/wiki/Helix_Energy_Solutions_Group"" title=""Helix Energy Solutions Group"" Helix Energy Solutions Group, Inc./a
",HLX,"Energy
","Oil &amp; Gas Equipment &amp; Services
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HLX&amp;action=getcompany"" rel=""nofollow""view/a
","0000866829
",S&P600
"a href=""/wiki/Horace_Mann_Educators_Corporation"" title=""Horace Mann Educators Corporation""Horace Mann Educators Corporation/a
",HMN,"Financials
","Multi-line Insurance
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HMN&amp;action=getcompany"" rel=""nofollow""view/a
","0000850141
",S&P600
"a href=""/wiki/HomeStreet_Bank"" title=""HomeStreet Bank"" HomeStreet, Inc./a
",HMST,"Financials
","Thrifts &amp; Mortgage Finance
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HMST&amp;action=getcompany"" rel=""nofollow""view/a
","0001518715
",S&P600
"a href=""/wiki/Hanger,_Inc."" title=""Hanger, Inc.""Hanger, Inc./a
",HNGR,"Health Care
","Health Care Facilities
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HNGR&amp;action=getcompany"" rel=""nofollow""view/a
","0000722723
",S&P600
"a href=""/wiki/HNI_Corporation"" title=""HNI Corporation""HNI Corporation/a
",HNI,"Industrials
","Office Services &amp; Supplies
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HNI&amp;action=getcompany"" rel=""nofollow""view/a
","0000048287
",S&P600
"a href=""/wiki/Bank_of_Hope"" title=""Bank of Hope"" Hope Bancorp, Inc./a
",HOPE,"Financials
","Regional Banks
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HOPE&amp;action=getcompany"" rel=""nofollow""view/a
","0001128361
",S&P600
"a href=""/wiki/Helmerich_%26_Payne"" title=""Helmerich &amp; Payne"" Helmerich &amp; Payne, Inc./a
",HP,"Energy
","Oil &amp; Gas Drilling
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HP&amp;action=getcompany"" rel=""nofollow""view/a
","0000046765
",S&P600
"a href=""/wiki/Harsco"" title=""Harsco"" Harsco Corp./a
",HSC,"Industrials
","Industrial Machinery
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HSC&amp;action=getcompany"" rel=""nofollow""view/a
","0000045876
",S&P600
"a href=""/wiki/Heidrick_%26_Struggles"" title=""Heidrick &amp; Struggles"" Heidrick &amp; Struggles International, Inc./a
",HSII,"Industrials
","Human Resource &amp; Employment Services
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HSII&amp;action=getcompany"" rel=""nofollow""view/a
","0001066605
",S&P600
"Heska Corporation
",HSKA,"Health Care
","Health Care Equipment
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HSKA&amp;action=getcompany"" rel=""nofollow""view/a
","0001038133
",S&P600
"HealthStream, Inc.
",HSTM,"Health Care
","Health Care Technology
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HSTM&amp;action=getcompany"" rel=""nofollow""view/a
","0001095565
",S&P600
"a href=""/wiki/Hersha_Hospitality_Trust"" title=""Hersha Hospitality Trust""Hersha Hospitality Trust/a
",HT,"Real Estate
","Hotel &amp; Resort REITs
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HT&amp;action=getcompany"" rel=""nofollow""view/a
","0001063344
",S&P600
"a href=""/wiki/Hilltop_Holdings_Inc."" title=""Hilltop Holdings Inc.""Hilltop Holdings Inc./a
",HTH,"Financials
","Regional Banks
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HTH&amp;action=getcompany"" rel=""nofollow""view/a
","0001265131
",S&P600
"Heartland Express, Inc.
",HTLD,"Industrials
","Trucking
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HTLD&amp;action=getcompany"" rel=""nofollow""view/a
","0000799233
",S&P600
"a href=""/wiki/Hub_Group"" title=""Hub Group"" Hub Group, Inc./a
",HUBG,"Industrials
","Air Freight &amp; Logistics
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HUBG&amp;action=getcompany"" rel=""nofollow""view/a
","0000940942
",S&P600
"a href=""/wiki/Havertys"" title=""Havertys"" Haverty Furniture Companies, Inc./a
",HVT,"Consumer Discretionary
","Homefurnishing Retail
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HVT&amp;action=getcompany"" rel=""nofollow""view/a
","0000216085
",S&P600
"Hawkins, Inc.
",HWKN,"Materials
","Commodity Chemicals
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HWKN&amp;action=getcompany"" rel=""nofollow""view/a
","0000046250
",S&P600
"MarineMax, Inc.
",HZO,"Consumer Discretionary
","Specialty Stores
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=HZO&amp;action=getcompany"" rel=""nofollow""view/a
","0001057060
",S&P600
"Installed Building Products, Inc.
",IBP,"Consumer Discretionary
","Homebuilding
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=IBP&amp;action=getcompany"" rel=""nofollow""view/a
","0001580905
",S&P600
"Independent Bank Group, Inc.
",IBTX,"Financials
","Regional Banks
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=IBTX&amp;action=getcompany"" rel=""nofollow""view/a
","0001564618
",S&P600
"Ichor Holdings, Ltd.
",ICHR,"Information Technology
","Semiconductor Equipment
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ICHR&amp;action=getcompany"" rel=""nofollow""view/a
","0001652535
",S&P600
"a href=""/wiki/InterDigital"" title=""InterDigital"" InterDigital, Inc./a
",IDCC,"Information Technology
","Communications Equipment
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=IDCC&amp;action=getcompany"" rel=""nofollow""view/a
","0001405495
",S&P600
"Insteel Industries, Inc.
",IIIN,"Industrials
","Building Products
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=IIIN&amp;action=getcompany"" rel=""nofollow""view/a
","0000764401
",S&P600
"Innovative Industrial Properties, Inc.
",IIPR,"Real Estate
","Industrial REITs
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=IIPR&amp;action=getcompany"" rel=""nofollow""view/a
","0001677576
",S&P600
"Industrial Logistics Properties Trust
",ILPT,"Real Estate
","Industrial REITs
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ILPT&amp;action=getcompany"" rel=""nofollow""view/a
","0001717307
",S&P600
"Independent Bank Corp.
",INDB,"Financials
","Regional Banks
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=INDB&amp;action=getcompany"" rel=""nofollow""view/a
","0000776901
",S&P600
"Inogen, Inc.
",INGN,"Health Care
","Health Care Equipment
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=INGN&amp;action=getcompany"" rel=""nofollow""view/a
","0001294133
",S&P600
"Summit Hotel Properties, Inc.
",INN,"Real Estate
","Hotel &amp; Resort REITs
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=INN&amp;action=getcompany"" rel=""nofollow""view/a
","0001497645
",S&P600
"a href=""/wiki/World_Fuel_Services"" title=""World Fuel Services"" World Fuel Services Corp/a
",INT,"Energy
","Oil &amp; Gas Refining &amp; Marketing
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=INT&amp;action=getcompany"" rel=""nofollow""view/a
","0000789460
",S&P600
"Innoviva, Inc.
",INVA,"Health Care
","Pharmaceuticals
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=INVA&amp;action=getcompany"" rel=""nofollow""view/a
","0001080014
",S&P600
"a href=""/wiki/Innospec"" title=""Innospec"" Innospec, Inc./a
",IOSP,"Materials
","Specialty Chemicals
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=IOSP&amp;action=getcompany"" rel=""nofollow""view/a
","0001054905
",S&P600
"Inter Parfums, Inc.
",IPAR,"Consumer Staples
","Personal Products
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=IPAR&amp;action=getcompany"" rel=""nofollow""view/a
","0000822663
",S&P600
"a href=""/wiki/IRobot"" title=""IRobot"" iRobot Corporation/a
",IRBT,"Consumer Discretionary
","Household Appliances
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=IRBT&amp;action=getcompany"" rel=""nofollow""view/a
","0001159167
",S&P600
"Independence Realty Trust, Inc.
",IRT,"Real Estate
","Residential REITs
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=IRT&amp;action=getcompany"" rel=""nofollow""view/a
","0001466085
",S&P600
"a href=""/wiki/Investors_Bank"" title=""Investors Bank"" Investors Bancorp, Inc./a
",ISBC,"Financials
","Regional Banks
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ISBC&amp;action=getcompany"" rel=""nofollow""view/a
","0001594012
",S&P600
"Integer Holdings Corporation
",ITGR,"Health Care
","Health Care Equipment
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ITFR&amp;action=getcompany"" rel=""nofollow""view/a
","0001114483
",S&P600
"a href=""/wiki/Itron"" title=""Itron"" Itron, Inc./a
",ITRI,"Information Technology
","Electronic Equipment &amp; Instruments
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ITRI&amp;action=getcompany"" rel=""nofollow""view/a
","0000780571
",S&P600
"a class=""mw-redirect"" href=""/wiki/Invacare_Corporation"" title=""Invacare Corporation""Invacare Corporation/a
",IVC,"Health Care
","Health Care Equipment
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=IVC&amp;action=getcompany"" rel=""nofollow""view/a
","0000742112
",S&P600
"Invesco Mortgage Capital, Inc.
",IVR,"Real Estate
","Mortgage REITs
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=IVR&amp;action=getcompany"" rel=""nofollow""view/a
","0001437071
",S&P600
"John B. Sanfilippo &amp; Son, Inc.
",JBSS,"Consumer Staples
","Packaged Foods &amp; Meats
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=JBSS&amp;action=getcompany"" rel=""nofollow""view/a
","0000880117
",S&P600
"a href=""/wiki/JBT_Corporation"" title=""JBT Corporation"" John Bean Technologies Corporation/a
",JBT,"Industrials
","Industrial Machinery
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=JBT&amp;action=getcompany"" rel=""nofollow""view/a
","0001433660
",S&P600
"a href=""/wiki/J_%26_J_Snack_Foods"" title=""J &amp; J Snack Foods"" J&amp;J Snack Foods Corp./a
",JJSF,"Consumer Staples
","Packaged Foods &amp; Meats
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=JJSF&amp;action=getcompany"" rel=""nofollow""view/a
","0000785956
",S&P600
"a href=""/wiki/St._Joe_Company"" title=""St. Joe Company""St. Joe Company/a
",JOE,"Real Estate
","Real Estate Development
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=JOE&amp;action=getcompany"" rel=""nofollow""view/a
","0000745308
",S&P600
"James River Group Holdings, Ltd.
",JRVR,"Financials
","Property &amp; Casualty Insurance
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=JRVR&amp;action=getcompany"" rel=""nofollow""view/a
","0001620459
",S&P600
"The Joint Corp.
",JYNT,"Health Care
","Health Care Facilities
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=JYNT&amp;action=getcompany"" rel=""nofollow""view/a
","0001612630
",S&P600
"a href=""/wiki/Kaiser_Aluminum"" title=""Kaiser Aluminum"" Kaiser Aluminum Corporation/a
",KALU,"Materials
","Aluminum
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=KALU&amp;action=getcompany"" rel=""nofollow""view/a
","0000811596
",S&P600
"a href=""/wiki/Kaman_Corporation"" title=""Kaman Corporation""Kaman Corporation/a
",KAMN,"Industrials
","Trading Companies &amp; Distributors
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=KAMN&amp;action=getcompany"" rel=""nofollow""view/a
","0000054381
",S&P600
"a href=""/wiki/Kelly_Services"" title=""Kelly Services""Kelly Services, Inc./a
",KELYA,"Industrials
","Human Resource &amp; Employment Services
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=KELYA&amp;action=getcompany"" rel=""nofollow""view/a
","0000055135
",S&P600
"a href=""/wiki/Korn_Ferry"" title=""Korn Ferry"" Korn/Ferry International/a
",KFY,"Industrials
","Human Resource &amp; Employment Services
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=KFY&amp;action=getcompany"" rel=""nofollow""view/a
","0000056679
",S&P600
"Kulicke and Soffa Industries, Inc.
",KLIC,"Information Technology
","Semiconductor Equipment
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=KLIC&amp;action=getcompany"" rel=""nofollow""view/a
","0000056978
",S&P600
"Knowles Corporation
",KN,"Information Technology
","Electronic Components
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=KN&amp;action=getcompany"" rel=""nofollow""view/a
","0001587523
",S&P600
"a href=""/wiki/Koppers"" title=""Koppers"" Koppers Holdings, Inc./a
",KOP,"Materials
","Commodity Chemicals
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=KOP&amp;action=getcompany"" rel=""nofollow""view/a
","0001315257
",S&P600
"a href=""/wiki/Kraton_(polymer)"" title=""Kraton (polymer)"" Kraton Corporation/a
",KRA,"Materials
","Specialty Chemicals
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=KRA&amp;action=getcompany"" rel=""nofollow""view/a
","0001321646
",S&P600
"KKR Real Estate Finance Trust, Inc.
",KREF,"Financials
","Mortgage REITs
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=KREF&amp;action=getcompany"" rel=""nofollow""view/a
","0001631596
",S&P600
"Kite Realty Group Trust
",KRG,"Real Estate
","Retail REITs
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=KRG&amp;action=getcompany"" rel=""nofollow""view/a
","0001286043
",S&P600
"a href=""/wiki/Kontoor_Brands"" title=""Kontoor Brands""Kontoor Brands/a
",KTB,"Consumer Discretionary
","Apparel, Accessories &amp; Luxury Goods
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=KTB&amp;action=getcompany"" rel=""nofollow""view/a
","0001760965
",S&P600
"a href=""/wiki/Quaker_Chemical_Corporation"" title=""Quaker Chemical Corporation""Quaker Chemical Corporation/a
",KWR,"Materials
","Specialty Chemicals
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=KWR&amp;action=getcompany"" rel=""nofollow""view/a
","0000081362
",S&P600
"LCI Industries
",LCII,"Consumer Discretionary
","Auto Parts &amp; Equipment
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=LCI&amp;action=getcompany"" rel=""nofollow""view/a
","0000763744
",S&P600
"Lydall, Inc.
",LDL,"Industrials
","Industrial Machinery
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=LDL&amp;action=getcompany"" rel=""nofollow""view/a
","0000060977
",S&P600
