0,1,2,3,4,5,6
"Acadia Realty Trust
",AKR,"Real Estate
","Retail REITs
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=AKR&amp;action=getcompany"" rel=""nofollow""view/a
","0000899629
",S&P600
"a href=""/wiki/Alexander_%26_Baldwin"" title=""Alexander &amp; Baldwin""Alexander &amp; Baldwin/a
",ALE,Real Estate,Diversified REITs,"a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALEX&amp;action=getcompany"" rel=""nofollow""view/a
","0001545654
",S&P600
"Alamo Group
",ALG,"Industrials
","Construction Machinery &amp; Heavy Trucks
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALG&amp;action=getcompany"" rel=""nofollow""view/a
","0000897077
",S&P600
"a href=""/wiki/Allegiant_Travel_Company"" title=""Allegiant Travel Company""Allegiant Travel Company/a
",ALGT,"Industrials
","Airlines
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALGT&amp;action=getcompany"" rel=""nofollow""view/a
","0001362468
",S&P600
"a href=""/wiki/Alarm.com"" title=""Alarm.com""Alarm.Com, Inc./a
",ALRM,"Financials
","Application Software
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALRM&amp;action=getcompany"" rel=""nofollow""view/a
","0001459200
",S&P600
"a class=""mw-redirect"" href=""/wiki/Ambac_Financial_Group"" title=""Ambac Financial Group""Ambac Financial Group/a
",AMBC,"Financials
","Property &amp; Casualty Insurance
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMBC&amp;action=getcompany"" rel=""nofollow""view/a
","0000874501
",S&P600
"a href=""/wiki/AMC_Networks"" title=""AMC Networks""AMC Networks/a
",AMCX,"Consumer Discretionary
","Broadcasting
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMCX&amp;action=getcompany"" rel=""nofollow""view/a
","0001514991
",S&P600
"Apollo Medical Holdings, Inc.
",AMEH,"Health Care
","Health Care Facilities
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMEH&amp;action=getcompany"" rel=""nofollow""view/a
","0001083446
",S&P600
"Amn Healthcare Services, Inc.
",AMN,"Health Care
","Health Care Services
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMN&amp;action=getcompany"" rel=""nofollow""view/a
","0001142750
",S&P600
"a href=""/wiki/Amphastar_Pharmaceuticals"" title=""Amphastar Pharmaceuticals"" Amphstar Pharmaceuticals, Inc./a
",AMPH,"Health Care
","Pharmaceuticals
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMPH&amp;action=getcompany"" rel=""nofollow""view/a
","0001297184
",S&P600
"Amerisafe, Inc.
",AMSF,"Financials
","Property &amp; Casualty Insurance
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMSF&amp;action=getcompany"" rel=""nofollow""view/a
","0001018979
",S&P600
"a href=""/wiki/American_Woodmark"" title=""American Woodmark"" American Woodmark Corp./a
",AMWD,"Industrials
","Building Products
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMWD&amp;action=getcompany"" rel=""nofollow""view/a
","0000794619
",S&P600
"a href=""/wiki/The_Andersons"" title=""The Andersons""The Andersons, Inc./a
",ANDE,"Consumer Staples
","Food Distributors
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANDE&amp;action=getcompany"" rel=""nofollow""view/a
","0000821026
",S&P600
"a class=""mw-redirect"" href=""/wiki/Abercrombie_%26_Fitch_Company"" title=""Abercrombie &amp; Fitch Company""Abercrombie &amp; Fitch Company/a
",ANF,"Consumer Discretionary
","Apparel Retail
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANF&amp;action=getcompany"" rel=""nofollow""view/a
","0001018840
",S&P600
"Angiodynamics, Inc.
",ANGO,"Health Care
","Health Care Equipment
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANGO&amp;action=getcompany"" rel=""nofollow""view/a
","0001275187
",S&P600
"Anika Therapeutics
",ANIK,"Health Care
","Health Care Supplies
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANIK&amp;action=getcompany"" rel=""nofollow""view/a
","0000898437
",S&P600
"ANI Pharmaceuticals, Inc.
",ANIP,"Health Care
","Pharmaceuticals
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANIP&amp;action=getcompany"" rel=""nofollow""view/a
","0001023024
",S&P600
"a href=""/wiki/American_Public_University_System"" title=""American Public University System"" American Public Education/a
",APEI,"Consumer Discretionary
","Education Services
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=APEI&amp;action=getcompany"" rel=""nofollow""view/a
","0001201792
",S&P600
"Apogee Enterprises, Inc.
",APOG,"Industrials
","Building Products
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=APOG&amp;action=getcompany"" rel=""nofollow""view/a
","0000006845
",S&P600
"Arcbest Corp.
",ARCB,"Industrials
","Trucking
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ARCB&amp;action=getcompany"" rel=""nofollow""view/a
","0000894405
",S&P600
"a class=""mw-redirect"" href=""/wiki/Apollo_Commercial_Real_Estate_Finance"" title=""Apollo Commercial Real Estate Finance""Apollo Commercial Real Estate Finance/a
",ARI,"Real Estate
","Mortgage REITs
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ARI&amp;action=getcompany"" rel=""nofollow""view/a
","0001467760
",S&P600
