Ticker,Index,MarketCap,Income,Sales,Booksh,Cashsh,Dividend,Dividend_Percentage,Employees,Recom,PriceToEarnings,ForwardPTE,PEG,PriceToSales,PriceToBook,PutCallRatio,PFCF,QuickRatio,CurrentRatio,DebtEquity,LdDebtEquity,SMA20,SMA50,SMA200,ROA,ROE,ROI,GrossMargin,OperationalMargin,ProfitMargin,Payout,SHSOutstanding,ShsFloat,ShoartFloat,ShortRatio,TargetPrice,52WH,52WL,AVGVol,Vol,PerformaceHalfYear,PerformanceYear,PerformanceYTD,,
[['ADTN'], '-', '943.93M', '17.60M', '534.00M', '7.75', '1.47', '0.36', '1.89%', '1405', '1.90', '53.21', '23.64', '23.14', '1.77', '2.46', '12.98', '-', '1.90', '3.00', '0.00', '0.00', '-11.70%', '-13.42%', '-0.12%', '3.30%', '4.70%', '-0.30%', '42.90%', '0.70%', '3.30%', '98.70%', '48.45M', '48.05M', '2.66%', '3.41', '25.42', '-24.80%', '92.75%', '375.06K', '35,312', '6.66%', '84.06%', '28.98%'],
[['ADUS'], '-', '1.35B', '38.10M', '813.20M', '34.57', '8.92', '-', '-', '6027', '1.50', '36.45', '21.63', '2.43', '1.66', '2.50', '9.71', '26.32', '2.50', '2.50', '0.36', '0.36', '-3.75%', '-2.68%', '-15.60%', '4.50%', '7.20%', '5.00%', '29.70%', '6.60%', '4.70%', '0.00%', '15.74M', '15.64M', '2.06%', '2.82', '125.71', '-33.94%', '6.09%', '114.45K', '5,526', '-20.94%', '-9.91%', '-26.07%'],
[['AEIS'], '-', '3.32B', '161.30M', '1.47B', '22.82', '13.38', '0.40', '0.46%', '10000', '2.40', '20.82', '15.09', '2.08', '2.25', '3.81', '6.50', '18.74', '2.10', '2.90', '0.36', '0.34', '-3.11%', '-8.55%', '-17.39%', '9.60%', '19.60%', '13.50%', '38.80%', '13.50%', '11.00%', '4.70%', '38.39M', '37.90M', '1.75%', '2.85', '111.50', '-32.38%', '48.84%', '232.40K', '18,367', '-15.74%', '45.01%', '-10.23%'],
[['AEL'], '-', '2.67B', '861.10M', '3.87B', '66.41', '127.68', '0.32', '1.08%', '655', '2.60', '3.20', '6.28', '-', '0.69', '0.45', '0.23', '1.19', '-', '-', '0.09', '0.09', '-9.46%', '-10.68%', '-7.70%', '1.20%', '14.00%', '-8.40%', '-', '0.30%', '22.30%', '3.40%', '94.80M', '90.78M', '1.96%', '4.07', '35.11', '-17.52%', '48.22%', '438.45K', '45,129', '-3.56%', '34.98%', '6.87%'],
[['AG'], '-', '3.10B', '-', '497.55M', '3.86', '-', '0.02', '0.16%', '-', '2.30', '47.16', '175.86', '1.01', '6.22', '3.19', '-', '-', '-', '-', '-', '-', '-5.63%', '-8.00%', '-21.00%', '-', '-', '-', '-', '-', '-', '-', '251.51M', '216.61M', '8.29%', '4.70', '9.54', '-50.65%', '27.01%', '3.82M', '1,266,841', '-26.99%', '1.23%', '-8.41%']
[['AGYS'], '-', '1.27B', '-20.40M', '146.10M', '3.36', '4.35', '-', '-', '1350', '2.50', '-', '55.81', '-', '8.70', '15.83', '12.23', '31.85', '2.30', '2.40', '0.00', '0.00', '-5.21%', '-6.92%', '0.72%', '-11.00%', '-25.20%', '-26.00%', '65.50%', '-12.70%', '-14.00%', '-', '25.18M', '22.16M', '2.09%', '5.01', '62.00', '-20.19%', '118.68%', '92.59K', '7,755', '-2.17%', '103.40%', '38.59%'],
[['AHH'], '-', '1.08B', '14.20M', '343.90M', '6.06', '0.53', '0.64', '4.85%', '158', '1.80', '54.73', '58.62', '10.95', '3.15', '2.18', '24.91', '28.07', '-', '-', '2.76', '2.74', '-1.57%', '-1.13%', '2.43%', '0.70%', '4.00%', '3.70%', '34.60%', '11.90%', '4.10%', '219.90%', '60.41M', '59.15M', '0.90%', '2.36', '15.50', '-9.25%', '59.15%', '225.48K', '18,542', '1.46%', '31.11%', '17.56%'],
[['AIN'], '-', '2.48B', '116.10M', '895.70M', '26.69', '7.94', '0.80', '1.03%', '4000', '2.60', '21.67', '21.46', '-', '2.77', '2.91', '9.78', '19.92', '3.40', '4.10', '0.40', '0.40', '-0.81%', '-3.41%', '-5.18%', '7.60%', '14.30%', '10.10%', '41.20%', '18.50%', '13.00%', '21.70%', '32.38M', '30.62M', '1.94%', '4.48', '91.83', '-17.22%', '59.23%', '132.71K', '5,112', '-8.86%', '44.37%', '5.79%'],
[['AIR'], '-', '1.14B', '45.90M', '1.65B', '27.84', '1.45', '0.30', '0.94%', '4700', '1.70', '24.72', '10.87', '1.81', '0.69', '1.15', '21.95', '12.12', '1.20', '2.80', '0.14', '0.14', '-4.39%', '-7.96%', '-16.44%', '2.20%', '3.80%', '4.20%', '16.70%', '3.90%', '2.10%', '7.40%', '35.00M', '33.81M', '6.43%', '7.93', '49.67', '-30.34%', '87.51%', '274.21K', '46,743', '-24.53%', '60.03%', '-11.90%'],
[['AIT'], '-', '3.27B', '144.80M', '3.24B', '24.10', '6.57', '1.32', '1.58%', '5947', '2.00', '22.69', '14.05', '1.89', '1.01', '3.46', '12.71', '18.70', '2.00', '2.80', '0.89', '0.84', '-5.86%', '-6.29%', '-6.79%', '6.40%', '15.90%', '9.80%', '29.10%', '6.30%', '4.50%', '34.80%', '38.70M', '38.00M', '1.45%', '3.69', '110.25', '-23.13%', '57.53%', '149.50K', '4,621', '-10.41%', '44.29%', '7.01%'],
