Ticker,Index,MarketCap,Income,Sales,Booksh,Cashsh,Dividend,Dividend_Percentage,Employees,Recom,PriceToEarnings,ForwardPTE,PEG,PriceToSales,PriceToBook,PutCallRatio,PFCF,QuickRatio,CurrentRatio,DebtEquity,LdDebtEquity,SMA20,SMA50,SMA200,ROA,ROE,ROI,GrossMargin,OperationalMargin,ProfitMargin,Payout,SHSOutstanding,ShsFloat,ShoartFloat,ShortRatio,TargetPrice,52WH,52WL,AVGVol,Vol,PerformaceHalfYear,PerformanceYear,PerformanceYTD,,
[['GLT'], '-', '639.46M', '22.20M', '939.30M', '12.82', '1.91', '0.56', '3.86%', '2415', '2.00', '29.25', '14.51', '146.27', '0.68', '1.13', '7.59', '10.82', '1.10', '2.00', '0.84', '0.78', '-6.60%', '-4.78%', '-9.52%', '2.00%', '4.60%', '3.50%', '16.40%', '5.70%', '2.80%', '91.80%', '44.56M', '43.43M', '1.15%', '2.47', '19.00', '-26.28%', '11.23%', '201.79K', '15,144', '-17.42%', '1.90%', '-11.42%'],
[['GMS'], '-', '1.96B', '139.50M', '3.54B', '20.36', '1.00', '-', '-', '5843', '2.10', '14.02', '7.70', '1.12', '0.55', '2.20', '44.97', '31.62', '1.20', '2.10', '1.21', '1.16', '-11.15%', '-10.12%', '5.44%', '5.80%', '17.60%', '8.90%', '32.20%', '6.70%', '3.90%', '0.00%', '43.09M', '42.37M', '1.74%', '2.64', '61.00', '-19.40%', '102.76%', '279.19K', '30,024', '5.07%', '93.01%', '46.85%'],
[['GNL'], '-', '1.66B', '-28.10M', '358.70M', '17.13', '1.71', '1.60', '9.83%', '1', '2.40', '-', '98.67', '-', '4.64', '0.95', '9.51', '-', '-', '-', '1.48', '1.48', '-5.00%', '-8.96%', '-11.03%', '-0.70%', '-1.80%', '2.40%', '80.60%', '28.60%', '-7.80%', '-', '96.39M', '-', '-', '2.37', '23.25', '-19.96%', '15.41%', '711.38K', '173,555', '-9.05%', '-3.95%', '-5.02%'],
[['GNW'], '-', '1.83B', '1.13B', '8.71B', '29.91', '4.25', '-', '-', '3000', '3.00', '1.61', '4.54', '0.32', '0.21', '0.12', '0.83', '2.06', '-', '-', '0.19', '0.19', '-4.85%', '-2.68%', '-6.94%', '1.10%', '7.40%', '5.10%', '-', '19.70%', '12.80%', '0.00%', '507.00M', '501.79M', '3.02%', '4.81', '-', '-27.76%', '34.32%', '3.15M', '720,374', '1.44%', '14.29%', '-6.88%'],
[['GPI'], '-', '3.23B', '501.40M', '12.74B', '99.10', '11.24', '1.36', '0.75%', '12337', '1.90', '6.48', '6.24', '-', '0.25', '1.84', '16.23', '4.33', '0.50', '1.30', '1.07', '0.75', '8.56%', '7.13%', '14.80%', '10.00%', '32.70%', '10.00%', '16.80%', '5.90%', '3.90%', '3.30%', '17.70M', '17.34M', '10.84%', '9.94', '251.40', '-2.64%', '117.06%', '189.02K', '18,784', '11.02%', '97.80%', '39.10%'],
[['GPMT'], '-', '724.95M', '40.60M', '206.80M', '17.20', '4.41', '1.00', '7.41%', '-', '2.20', '22.35', '10.84', '31.98', '3.51', '0.78', '3.06', '-', '-', '-', '3.03', '2.27', '-2.56%', '-4.03%', '5.66%', '1.00%', '4.30%', '-1.00%', '45.70%', '20.00%', '19.70%', '94.90%', '55.01M', '53.90M', '1.78%', '3.23', '15.00', '-17.27%', '144.64%', '296.68K', '46,910', '6.30%', '104.77%', '35.14%'],
[['GPRE'], '-', '1.91B', '-88.60M', '2.18B', '19.02', '9.05', '-', '-', '839', '1.80', '-', '34.13', '-', '0.88', '1.83', '3.84', '-', '2.00', '2.80', '0.83', '0.62', '-2.74%', '-2.03%', '24.50%', '-4.60%', '-10.80%', '-9.70%', '9.80%', '0.60%', '-3.70%', '-', '45.42M', '42.51M', '23.44%', '8.56', '46.44', '-11.63%', '185.84%', '1.16M', '198,395', '35.70%', '132.80%', '164.09%'],
[['GTLS'], '-', '6.91B', '85.00M', '1.20B', '44.27', '5.49', '-', '-', '4318', '1.80', '88.01', '34.10', '1.91', '5.78', '4.34', '34.95', '337.19', '0.80', '1.30', '0.45', '0.29', '0.20%', '10.65%', '27.84%', '11.90%', '20.80%', '4.10%', '28.10%', '9.20%', '26.10%', '0.00%', '36.35M', '36.24M', '12.45%', '10.65', '182.11', '-4.38%', '196.68%', '423.52K', '29,622', '30.20%', '170.90%', '62.97%'],
[['GTY'], '-', '1.35B', '75.10M', '150.90M', '15.43', '0.42', '1.56', '5.19%', '31', '2.20', '17.40', '24.51', '-', '8.93', '1.95', '70.90', '59.09', '-', '-', '0.79', '0.79', '-3.62%', '-5.03%', '-0.51%', '5.60%', '11.40%', '5.80%', '84.30%', '46.20%', '49.80%', '89.10%', '44.44M', '38.14M', '2.53%', '5.47', '34.90', '-12.63%', '20.18%', '176.85K', '18,557', '4.67%', '9.00%', '9.04%'],
[['GVA'], '-', '1.82B', '-94.90M', '3.64B', '20.86', '12.95', '0.52', '1.30%', '2800', '2.70', '-', '19.36', '-', '0.50', '1.92', '3.09', '15.97', '1.40', '1.50', '0.36', '0.35', '-2.80%', '-1.14%', '6.08%', '-3.90%', '-10.00%', '-12.00%', '11.30%', '-2.60%', '-2.60%', '-', '45.80M', '45.28M', '6.44%', '8.82', '46.75', '-12.10%', '130.06%', '330.80K', '24,853', '3.39%', '115.60%', '49.57%'],
[['GWB'], '-', '1.76B', '162.50M', '444.10M', '21.03', '33.31', '0.20', '0.63%', '1607', '2.70', '10.76', '11.26', '2.91', '3.97', '1.50', '0.95', '9.27', '-', '-', '0.09', '0.09', '1.83%', '0.70%', '5.56%', '1.30%', '14.50%', '30.40%', '-', '92.60%', '36.60%', '1.40%', '55.21M', '54.84M', '2.11%', '3.25', '35.17', '-12.39%', '161.19%', '355.49K', '76,123', '-2.56%', '134.37%', '51.05%'],
[['HA'], '-', '1.05B', '-326.50M', '818.70M', '11.93', '42.81', '-', '-', '5968', '3.00', '-', '19.37', '-', '1.28', '1.72', '0.48', '14.17', '1.70', '1.70', '3.55', '3.28', '3.47%', '2.96%', '-10.18%', '-7.20%', '-51.40%', '-24.50%', '-20.20%', '-48.20%', '-39.90%', '-', '51.16M', '50.07M', '6.22%', '2.92', '22.06', '-34.37%', '69.51%', '1.07M', '149,761', '-26.71%', '39.61%', '16.10%'],
[['HAFC'], '-', '555.81M', '68.90M', '215.90M', '19.81', '24.14', '0.48', '2.55%', '602', '2.50', '8.31', '9.25', '1.04', '2.57', '0.95', '0.78', '3.68', '-', '-', '0.20', '0.20', '-4.16%', '-2.79%', '1.55%', '1.10%', '11.80%', '17.00%', '-', '85.30%', '31.90%', '16.80%', '30.44M', '30.33M', '1.85%', '3.87', '20.83', '-19.61%', '139.73%', '144.93K', '29,549', '-7.53%', '115.73%', '65.70%'],
[['HAYN'], '-', '468.10M', '-17.20M', '322.30M', '23.57', '5.80', '0.88', '2.41%', '1037', '1.70', '-', '37.32', '-', '1.45', '1.55', '6.31', '11.97', '2.30', '6.40', '0.00', '0.03', '-5.24%', '-3.81%', '14.72%', '-3.10%', '-5.80%', '0.50%', '8.40%', '-5.30%', '-5.30%', '-', '12.52M', '12.40M', '1.80%', '4.66', '45.00', '-11.98%', '134.99%', '47.82K', '5,171', '21.21%', '89.68%', '53.40%'],
[['HCC'], '-', '1.21B', '-74.20M', '833.50M', '13.57', '5.31', '0.20', '0.86%', '431', '2.70', '-', '9.36', '-', '1.45', '1.72', '4.39', '9.22', '2.90', '3.50', '0.64', '0.60', '-7.95%', '5.87%', '9.45%', '-5.40%', '-10.30%', '-0.30%', '17.90%', '-5.10%', '-8.90%', '-', '51.45M', '51.00M', '3.22%', '1.83', '22.86', '-20.38%', '63.70%', '899.61K', '303,993', '25.00%', '12.80%', '9.52%'],
[['HCI'], '-', '900.22M', '24.70M', '333.70M', '28.79', '75.19', '1.60', '1.48%', '436', '2.30', '34.56', '91.97', '1.38', '2.70', '3.75', '1.44', '18.91', '-', '-', '0.74', '0.74', '-1.33%', '2.35%', '35.59%', '2.50%', '11.80%', '0.60%', '-', '3.80%', '7.40%', '47.90%', '7.53M', '6.37M', '16.74%', '10.99', '105.00', '-10.60%', '130.33%', '97.07K', '2,846', '48.02%', '108.75%', '106.63%'],
[['HFWA'], '-', '848.18M', '98.60M', '217.40M', '23.78', '36.48', '0.80', '3.29%', '804', '2.80', '8.92', '14.64', '1.27', '3.90', '1.02', '0.67', '-', '-', '-', '0.02', '0.02', '-4.44%', '-2.87%', '-9.03%', '1.40%', '11.90%', '23.00%', '-', '97.00%', '45.30%', '29.20%', '35.99M', '35.37M', '3.26%', '7.11', '26.38', '-23.69%', '35.42%', '162.21K', '12,745', '-16.92%', '23.90%', '3.93%'],
[['HI'], '-', '3.03B', '187.90M', '2.80B', '16.29', '6.55', '0.86', '2.06%', '11000', '1.50', '16.85', '11.32', '1.35', '1.08', '2.56', '6.36', '5.26', '1.00', '1.40', '0.99', '0.99', '-7.55%', '-8.03%', '-9.33%', '4.70%', '16.00%', '0.80%', '34.50%', '13.50%', '6.70%', '34.40%', '75.50M', '72.36M', '1.97%', '3.24', '60.75', '-22.94%', '54.51%', '440.77K', '47,454', '-17.47%', '48.43%', '4.72%'],
[['HIBB'], '-', '1.19B', '180.40M', '1.63B', '25.50', '11.50', '1.00', '1.29%', '3600', '1.80', '7.25', '7.95', '1.01', '0.73', '3.04', '6.74', '13.05', '1.00', '2.10', '0.01', '0.01', '-12.74%', '-13.34%', '5.56%', '22.40%', '45.10%', '21.90%', '39.10%', '14.40%', '11.10%', '2.20%', '15.69M', '12.67M', '22.46%', '5.71', '121.17', '-23.47%', '115.60%', '498.50K', '91,505', '1.96%', '96.23%', '67.89%'],
[['HLIT'], '-', '919.28M', '0.00M', '451.40M', '2.64', '1.13', '-', '-', '916', '2.20', '8980.00', '20.04', '462.89', '2.04', '3.40', '7.98', '24.45', '1.40', '1.60', '0.57', '0.55', '-4.89%', '-2.77%', '9.38%', '0.00%', '0.00%', '-4.10%', '52.60%', '2.90%', '0.00%', '0.00%', '101.22M', '98.78M', '9.89%', '12.29', '11.50', '-18.23%', '69.04%', '794.69K', '139,087', '10.05%', '62.09%', '21.52%'],
[['HLX'], '-', '568.49M', '9.00M', '678.70M', '11.33', '1.60', '-', '-', '1536', '2.70', '62.17', '-', '-', '0.84', '0.33', '2.33', '3.23', '1.90', '1.90', '0.20', '0.16', '-6.58%', '-13.75%', '-26.73%', '0.50%', '0.70%', '1.60%', '9.70%', '2.60%', '1.70%', '0.00%', '150.03M', '141.91M', '4.43%', '3.34', '5.61', '-48.37%', '58.64%', '1.88M', '320,508', '-31.56%', '20.71%', '-11.19%'],
[['HMN'], '-', '1.62B', '170.30M', '1.36B', '43.25', '0.72', '1.24', '3.13%', '1490', '3.00', '9.80', '11.77', '0.77', '1.19', '0.92', '55.01', '10.09', '-', '-', '0.23', '0.23', '-5.30%', '-3.40%', '-4.90%', '1.30%', '9.70%', '6.50%', '-', '16.40%', '12.50%', '30.10%', '42.00M', '40.95M', '2.46%', '5.42', '42.00', '-13.96%', '19.00%', '185.61K', '11,443', '-8.76%', '13.51%', '-5.66%'],
[['HMST'], '-', '766.15M', '112.80M', '248.40M', '33.66', '-', '1.00', '2.65%', '997', '2.80', '7.37', '9.17', '1.05', '3.08', '1.12', '-', '4.97', '-', '-', '0.18', '0.09', '-6.96%', '-6.42%', '-9.88%', '1.60%', '16.00%', '19.70%', '-', '91.80%', '45.40%', '15.40%', '21.06M', '20.09M', '3.09%', '5.07', '44.20', '-30.39%', '50.89%', '122.14K', '18,778', '-18.76%', '38.77%', '11.88%'],
[['HNGR'], '-', '854.00M', '29.70M', '1.05B', '1.65', '1.97', '-', '-', '4700', '1.50', '28.98', '16.58', '2.90', '0.81', '13.36', '11.21', '13.18', '1.00', '1.40', '7.94', '7.75', '-3.84%', '-6.12%', '-8.18%', '3.20%', '60.50%', '12.90%', '68.40%', '6.10%', '2.80%', '0.00%', '38.65M', '36.54M', '2.64%', '6.18', '29.00', '-18.60%', '40.08%', '156.21K', '21,086', '-9.52%', '20.82%', '0.27%'],
[['HNI'], '-', '1.62B', '85.70M', '2.06B', '14.49', '2.73', '1.24', '3.32%', '7500', '1.50', '18.94', '13.51', '2.10', '0.79', '2.58', '13.68', '12.66', '0.80', '1.20', '0.30', '0.29', '-1.62%', '-5.04%', '-6.75%', '6.00%', '14.20%', '6.30%', '36.90%', '5.70%', '4.20%', '61.50%', '43.78M', '43.31M', '2.06%', '4.84', '51.33', '-21.80%', '21.24%', '184.32K', '19,854', '-8.56%', '12.70%', '8.44%'],
[['HOPE'], '-', '1.65B', '156.30M', '565.40M', '16.93', '7.22', '0.56', '4.11%', '1408', '3.00', '10.83', '8.83', '1.35', '2.91', '0.81', '1.89', '12.26', '-', '-', '0.15', '0.15', '-3.79%', '-3.31%', '-4.10%', '0.90%', '7.60%', '18.50%', '-', '86.20%', '27.60%', '44.20%', '123.59M', '117.12M', '2.43%', '3.58', '15.20', '-21.07%', '86.36%', '792.88K', '123,956', '-14.06%', '73.19%', '24.93%'],
[['HP'], '-', '2.88B', '-319.90M', '1.08B', '27.88', '5.07', '1.00', '3.82%', '3634', '2.50', '-', '-', '-', '2.66', '0.94', '5.16', '-', '3.40', '3.70', '0.16', '0.16', '-5.22%', '-9.04%', '-9.98%', '-6.80%', '-10.10%', '-12.20%', '21.50%', '-39.20%', '-29.40%', '-', '107.90M', '104.20M', '6.98%', '5.94', '31.27', '-30.52%', '95.77%', '1.22M', '131,704', '-14.70%', '57.97%', '12.95%'],
[['HSC'], '-', '1.30B', '2.90M', '2.12B', '8.75', '0.98', '-', '-', '12000', '1.70', '496.97', '14.29', '49.70', '0.61', '1.87', '16.70', '-', '1.30', '1.60', '1.94', '1.91', '-10.58%', '-14.19%', '-15.92%', '-0.10%', '-0.30%', '1.10%', '19.90%', '3.40%', '-0.10%', '-', '79.27M', '77.78M', '4.00%', '9.31', '26.67', '-32.49%', '32.18%', '334.35K', '20,739', '-11.35%', '6.70%', '-8.79%'],
[['HSII'], '-', '850.74M', '15.00M', '762.70M', '15.35', '11.85', '0.60', '1.41%', '1678', '1.70', '60.50', '12.66', '6.05', '1.12', '2.76', '3.58', '10.88', '1.50', '1.50', '0.00', '0.00', '-1.67%', '-0.03%', '10.08%', '2.00%', '5.40%', '-15.60%', '97.50%', '2.40%', '2.00%', '78.70%', '19.51M', '19.26M', '1.91%', '3.59', '51.33', '-10.70%', '120.07%', '102.72K', '6,727', '12.79%', '93.65%', '44.35%'],
[['HSKA'], '-', '2.71B', '-1.50M', '246.40M', '42.66', '23.62', '-', '-', '602', '2.20', '-', '222.01', '-', '10.99', '6.11', '11.04', '144.80', '7.00', '8.00', '0.19', '0.19', '-3.18%', '-0.72%', '27.10%', '-0.30%', '-0.40%', '-2.50%', '41.70%', '0.50%', '-0.60%', '-', '10.17M', '10.05M', '3.09%', '5.20', '287.00', '-7.49%', '171.86%', '59.73K', '3,723', '46.84%', '169.73%', '79.10%'],
[['HSTM'], '-', '893.33M', '8.30M', '251.00M', '10.79', '1.81', '-', '-', '1037', '2.50', '112.18', '120.99', '9.35', '3.56', '2.71', '16.21', '20.49', '1.00', '1.00', '0.00', '0.00', '-2.52%', '-1.84%', '13.57%', '1.70%', '2.50%', '3.60%', '64.20%', '4.40%', '3.30%', '0.00%', '31.55M', '25.07M', '2.30%', '6.05', '31.00', '-7.17%', '60.87%', '95.43K', '8,101', '28.59%', '45.82%', '34.07%'],
[['HT'], '-', '370.19M', '-119.60M', '186.30M', '14.98', '1.76', '-', '-', '32', '3.20', '-', '-', '-', '1.99', '0.63', '5.36', '-', '-', '-', '1.90', '1.90', '0.98%', '-0.65%', '-5.99%', '-6.20%', '-19.30%', '-7.30%', '6.20%', '-52.80%', '-64.20%', '-', '39.10M', '33.00M', '2.68%', '2.59', '11.55', '-28.66%', '98.09%', '341.08K', '86,764', '-18.88%', '49.13%', '19.26%'],
[['HTH'], '-', '2.57B', '484.70M', '548.40M', '30.25', '28.17', '0.48', '1.50%', '4900', '2.80', '5.67', '12.50', '0.38', '4.69', '1.06', '1.14', '162.78', '-', '-', '0.19', '0.19', '-5.24%', '-5.41%', '-5.96%', '2.80%', '20.30%', '7.60%', '-', '83.90%', '89.20%', '7.90%', '81.66M', '62.16M', '5.03%', '6.04', '34.75', '-21.21%', '75.28%', '517.57K', '43,293', '-15.76%', '66.65%', '16.61%'],
[['HTLD'], '-', '1.27B', '72.90M', '624.60M', '9.28', '2.10', '0.08', '0.50%', '3780', '2.80', '17.67', '15.68', '1.33', '2.04', '1.72', '7.62', '-', '3.20', '3.20', '0.00', '0.00', '-3.87%', '-3.01%', '-10.22%', '7.60%', '10.00%', '9.70%', '-', '15.50%', '11.70%', '8.90%', '79.91M', '39.68M', '3.22%', '3.71', '19.00', '-19.76%', '0.67%', '344.37K', '46,714', '-14.33%', '-16.93%', '-9.22%'],
[['HUBG'], '-', '2.41B', '91.00M', '3.78B', '36.11', '6.99', '-', '-', '5000', '2.10', '25.33', '15.16', '1.20', '0.64', '1.89', '9.78', '16.59', '1.40', '1.40', '0.19', '0.12', '-2.22%', '1.07%', '5.24%', '4.30%', '7.80%', '5.80%', '11.70%', '3.30%', '2.40%', '0.00%', '33.43M', '32.60M', '2.15%', '3.75', '79.00', '-10.02%', '42.94%', '187.37K', '12,339', '3.09%', '31.72%', '19.91%'],
[['HVT'], '-', '621.35M', '86.00M', '945.30M', '14.36', '12.99', '1.00', '2.91%', '2766', '2.00', '7.75', '7.60', '0.59', '0.66', '2.39', '2.64', '6.65', '1.10', '1.60', '0.00', '0.00', '-3.58%', '-7.92%', '-8.96%', '12.10%', '31.80%', '23.30%', '56.70%', '11.60%', '9.10%', '19.40%', '20.16M', '15.84M', '16.20%', '11.23', '-', '-35.33%', '86.89%', '228.54K', '24,029', '-12.94%', '66.04%', '24.00%'],
[['HWKN'], '-', '731.56M', '45.80M', '634.90M', '13.08', '0.24', '0.52', '1.53%', '742', '2.00', '15.69', '-', '-', '1.15', '2.59', '140.69', '25.40', '1.50', '2.50', '0.35', '0.31', '-7.07%', '-3.18%', '5.19%', '10.10%', '17.40%', '11.30%', '20.80%', '9.80%', '7.20%', '21.90%', '21.03M', '19.23M', '0.97%', '3.46', '44.00', '-15.08%', '52.91%', '54.11K', '11,003', '-3.72%', '37.08%', '29.61%'],
[['HZO'], '-', '1.08B', '147.70M', '2.00B', '25.88', '9.32', '-', '-', '1736', '2.40', '7.77', '7.74', '0.26', '0.54', '1.94', '5.38', '2.76', '1.30', '2.20', '0.10', '0.08', '1.00%', '-1.73%', '2.49%', '16.30%', '29.10%', '13.80%', '30.10%', '9.90%', '7.40%', '0.00%', '22.13M', '21.32M', '14.82%', '9.43', '59.67', '-30.40%', '107.35%', '335.15K', '40,326', '-18.27%', '106.30%', '43.05%'],
[['IBP'], '-', '3.57B', '110.40M', '1.79B', '12.34', '-', '1.20', '1.00%', '8950', '2.20', '32.35', '17.34', '0.89', '2.00', '9.76', '-', '34.44', '2.00', '2.40', '1.58', '1.51', '-4.42%', '-2.57%', '0.48%', '9.10%', '33.30%', '14.40%', '30.40%', '9.80%', '6.20%', '16.00%', '29.38M', '23.26M', '4.59%', '5.26', '141.20', '-16.62%', '37.61%', '202.82K', '11,259', '7.88%', '24.52%', '18.21%'],
[['IBTX'], '-', '2.82B', '235.40M', '597.40M', '59.47', '65.31', '1.36', '2.08%', '1513', '2.00', '11.89', '13.14', '1.19', '4.73', '1.10', '1.00', '14.61', '-', '-', '0.14', '0.14', '-6.63%', '-8.28%', '-9.95%', '1.30%', '9.40%', '14.70%', '-', '87.30%', '39.30%', '21.30%', '42.76M', '37.27M', '2.60%', '6.84', '79.83', '-20.95%', '55.28%', '141.77K', '8,344', '-16.75%', '42.25%', '4.64%'],
[['ICHR'], '-', '1.28B', '60.60M', '1.02B', '16.27', '8.48', '-', '-', '1600', '1.80', '19.42', '10.61', '1.16', '1.26', '2.71', '5.19', '15.57', '1.90', '2.70', '0.36', '0.34', '-2.93%', '-6.25%', '-7.97%', '8.10%', '15.60%', '7.00%', '15.90%', '6.90%', '5.90%', '0.00%', '28.18M', '28.11M', '2.47%', '2.69', '66.80', '-32.73%', '109.02%', '258.06K', '45,183', '-5.65%', '102.62%', '46.13%'],
[['IDCC'], '-', '2.10B', '29.60M', '348.40M', '22.86', '27.12', '1.40', '2.05%', '514', '1.20', '71.80', '25.20', '4.79', '6.04', '2.99', '2.52', '67.02', '3.90', '3.90', '0.00', '0.60', '-5.28%', '-3.57%', '-2.79%', '1.90%', '4.00%', '5.40%', '-', '7.90%', '8.50%', '145.60%', '30.80M', '30.32M', '5.62%', '8.62', '97.00', '-22.01%', '23.00%', '197.56K', '29,933', '5.78%', '15.44%', '12.52%'],
[['IIIN'], '-', '673.81M', '48.90M', '557.60M', '14.31', '4.61', '0.12', '0.35%', '881', '2.00', '13.80', '12.69', '1.06', '1.21', '2.42', '7.50', '23.64', '2.10', '3.00', '0.00', '0.00', '-8.70%', '-9.71%', '3.08%', '14.40%', '18.70%', '6.60%', '18.10%', '11.30%', '8.80%', '4.70%', '19.35M', '18.40M', '1.77%', '2.71', '40.00', '-23.68%', '112.37%', '120.16K', '21,332', '-4.82%', '91.93%', '55.32%'],
[['IIPR'], '-', '5.63B', '93.90M', '163.20M', '62.84', '6.46', '5.60', '2.41%', '19', '1.90', '58.30', '34.99', '-', '34.53', '3.70', '36.05', '-', '-', '-', '0.29', '0.29', '-3.34%', '2.65%', '18.47%', '5.20%', '6.50%', '4.20%', '96.80%', '63.70%', '57.60%', '126.50%', '23.89M', '23.49M', '5.81%', '7.47', '257.00', '-8.43%', '106.89%', '182.75K', '36,206', '30.58%', '84.45%', '27.09%'],
[['ILPT'], '-', '1.69B', '92.60M', '233.60M', '15.34', '0.46', '1.32', '5.12%', '-', '2.80', '18.14', '13.42', '10.08', '7.24', '1.68', '55.46', '15.36', '-', '-', '0.89', '0.65', '-5.27%', '-5.35%', '3.80%', '4.50%', '9.30%', '5.80%', '86.20%', '44.80%', '39.60%', '92.90%', '65.15M', '64.38M', '1.50%', '3.84', '28.75', '-8.77%', '35.93%', '251.88K', '29,010', '11.85%', '13.77%', '10.65%'],
[['INDB'], '-', '2.32B', '144.00M', '391.10M', '52.72', '69.84', '1.92', '2.68%', '1432', '1.70', '16.40', '14.86', '6.56', '5.94', '1.36', '1.02', '19.35', '-', '-', '0.08', '0.08', '-6.61%', '-4.90%', '-11.50%', '1.10%', '8.70%', '15.10%', '-', '94.90%', '38.00%', '41.20%', '33.03M', '32.58M', '6.12%', '10.72', '90.50', '-30.30%', '41.32%', '186.02K', '15,613', '-21.02%', '31.63%', '-2.07%'],
[['INGN'], '-', '1.10B', '-2.50M', '336.80M', '16.53', '11.21', '-', '-', '938', '2.80', '-', '-', '-', '3.26', '2.98', '4.39', '29.37', '4.90', '5.30', '0.00', '0.00', '-14.36%', '-24.73%', '-15.80%', '-0.50%', '-0.70%', '-2.10%', '46.70%', '0.50%', '-0.70%', '-', '22.44M', '22.28M', '2.51%', '2.83', '71.00', '-41.64%', '78.67%', '197.99K', '16,318', '-3.28%', '72.14%', '10.23%'],
[['INN'], '-', '980.43M', '-142.50M', '245.00M', '8.95', '0.53', '-', '-', '46', '1.70', '-', '618.67', '-', '4.00', '1.04', '17.48', '-', '-', '-', '1.15', '1.15', '-0.56%', '0.42%', '-4.67%', '-6.40%', '-14.60%', '-5.30%', '34.50%', '-40.00%', '-58.20%', '-', '104.50M', '103.15M', '4.80%', '6.01', '11.67', '-19.79%', '92.37%', '824.45K', '174,665', '-13.75%', '57.02%', '3.00%'],
[['INT'], '-', '2.09B', '115.00M', '22.23B', '30.70', '11.70', '0.48', '1.46%', '4300', '2.00', '18.19', '13.78', '3.64', '0.09', '1.07', '2.81', '4.73', '1.20', '1.40', '0.27', '0.25', '-2.02%', '-1.28%', '-3.83%', '2.40%', '6.00%', '6.80%', '3.40%', '0.90%', '0.50%', '29.70%', '63.40M', '61.71M', '3.42%', '3.05', '37.50', '-16.27%', '71.84%', '692.75K', '42,172', '-10.46%', '29.21%', '5.49%'],
[['INVA'], '-', '1.06B', '265.20M', '365.50M', '3.73', '-', '-', '-', '5', '4.00', '6.32', '9.54', '0.33', '2.90', '4.20', '-', '3.22', '27.60', '27.60', '1.18', '1.18', '3.00%', '6.76%', '22.68%', '27.90%', '53.30%', '28.20%', '-', '94.50%', '72.60%', '0.00%', '88.42M', '69.02M', '14.43%', '12.99', '-', '-5.52%', '71.50%', '766.66K', '91,578', '27.65%', '34.80%', '26.31%'],
[['IOSP'], '-', '2.12B', '81.10M', '1.27B', '39.53', '3.77', '1.04', '1.23%', '1900', '2.30', '25.93', '16.29', '3.46', '1.67', '2.14', '22.49', '24.16', '1.30', '2.20', '0.00', '0.00', '-8.37%', '-7.62%', '-12.82%', '5.80%', '8.50%', '2.40%', '29.80%', '8.80%', '6.40%', '33.10%', '24.63M', '24.35M', '1.59%', '3.51', '114.50', '-22.84%', '35.20%', '110.23K', '8,838', '-18.84%', '26.32%', '-6.65%'],
[['IPAR'], '-', '2.19B', '81.60M', '750.80M', '17.73', '9.48', '1.00', '1.44%', '396', '2.50', '27.08', '30.85', '2.26', '2.91', '3.93', '7.35', '-', '2.40', '3.10', '0.29', '0.24', '-6.34%', '-7.73%', '-3.34%', '8.80%', '15.30%', '9.00%', '55.20%', '20.00%', '10.90%', '19.40%', '31.65M', '17.70M', '1.50%', '2.65', '88.00', '-15.04%', '86.20%', '100.27K', '6,588', '-3.46%', '72.21%', '15.16%'],
[['IRBT'], '-', '2.26B', '111.30M', '1.63B', '27.80', '15.23', '-', '-', '1321', '3.10', '21.34', '20.12', '1.19', '1.39', '2.98', '5.44', '13.23', '1.90', '2.90', '0.00', '0.00', '-1.43%', '-5.20%', '-18.10%', '9.70%', '13.90%', '13.10%', '41.60%', '6.10%', '6.80%', '0.00%', '28.10M', '27.51M', '24.74%', '13.96', '97.25', '-58.90%', '14.11%', '487.42K', '51,036', '-30.42%', '6.50%', '3.26%'],
[['IRT'], '-', '2.47B', '18.80M', '221.10M', '7.29', '0.06', '0.48', '2.37%', '444', '2.20', '105.42', '145.61', '21.08', '11.16', '2.78', '324.77', '-', '-', '-', '1.42', '1.36', '-1.21%', '0.72%', '21.31%', '1.10%', '2.70%', '2.60%', '57.60%', '20.90%', '8.50%', '245.90%', '102.02M', '-', '-', '19.95', '21.38', '-4.60%', '84.78%', '903.09K', '88,999', '39.59%', '72.55%', '50.71%'],
[['ISBC'], '-', '3.51B', '291.50M', '931.00M', '11.97', '3.89', '0.56', '3.98%', '1751', '2.00', '11.41', '10.52', '1.10', '3.77', '1.18', '3.61', '10.00', '-', '-', '0.00', '0.00', '-3.17%', '-1.66%', '0.99%', '1.10%', '10.60%', '22.50%', '-', '80.10%', '31.30%', '42.10%', '235.04M', '226.72M', '3.76%', '3.60', '16.45', '-13.34%', '102.05%', '2.37M', '186,582', '-4.55%', '79.69%', '33.24%'],
[['ITGR'], '-', '3.03B', '96.70M', '1.11B', '39.86', '0.92', '-', '-', '7500', '1.50', '31.40', '20.90', '3.14', '2.74', '2.30', '99.07', '22.69', '1.70', '2.60', '0.51', '0.48', '-6.49%', '-4.60%', '0.95%', '4.10%', '7.60%', '5.60%', '27.50%', '12.70%', '8.70%', '0.00%', '32.98M', '32.52M', '1.86%', '4.02', '113.33', '-11.53%', '65.35%', '150.31K', '4,601', '3.22%', '56.72%', '12.81%'],
